"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100",0.704119850187266,0.974093264248705,0.817391304347826,0.871794871794872,0.300884955752212,0.447368421052632,0.725490196078431,0.72,0.993103448275862,0.834782608695652,0.9,0.138461538461538,0.24,0.728571428571429
"200",0.719230769230769,0.968911917098446,0.82560706401766,0.869565217391304,0.353982300884956,0.50314465408805,0.741830065359477,0.743589743589744,1,0.852941176470588,1,0.230769230769231,0.375,0.761904761904762
"300",0.725868725868726,0.974093264248705,0.831858407079646,0.893617021276596,0.371681415929204,0.525,0.751633986928105,0.721393034825871,1,0.838150289017341,1,0.138461538461538,0.243243243243243,0.733333333333333
"400",0.714285714285714,0.984455958549223,0.827886710239651,0.925,0.327433628318584,0.483660130718954,0.741830065359477,0.723618090452261,0.993103448275862,0.837209302325581,0.909090909090909,0.153846153846154,0.263157894736842,0.733333333333333
"500",0.721374045801527,0.979274611398964,0.830769230769231,0.909090909090909,0.353982300884956,0.509554140127389,0.748366013071895,0.728643216080402,1,0.843023255813954,1,0.169230769230769,0.289473684210526,0.742857142857143
"600",0.70479704797048,0.989637305699482,0.823275862068966,0.942857142857143,0.292035398230089,0.445945945945946,0.73202614379085,0.714285714285714,1,0.833333333333333,1,0.107692307692308,0.194444444444444,0.723809523809524
"700",0.718045112781955,0.989637305699482,0.832244008714597,0.95,0.336283185840708,0.496732026143791,0.748366013071895,0.721393034825871,1,0.838150289017341,1,0.138461538461538,0.243243243243243,0.733333333333333
"800",0.700729927007299,0.994818652849741,0.822269807280514,0.96875,0.274336283185841,0.427586206896552,0.72875816993464,0.72,0.993103448275862,0.834782608695652,0.9,0.138461538461538,0.24,0.728571428571429
"900",0.694852941176471,0.979274611398964,0.812903225806452,0.882352941176471,0.265486725663717,0.408163265306123,0.715686274509804,0.716417910447761,0.993103448275862,0.832369942196532,0.888888888888889,0.123076923076923,0.216216216216216,0.723809523809524
"1000",0.7,0.979274611398964,0.816414686825054,0.888888888888889,0.283185840707965,0.429530201342282,0.722222222222222,0.721393034825871,1,0.838150289017341,1,0.138461538461538,0.243243243243243,0.733333333333333
"1100",0.697416974169742,0.979274611398964,0.814655172413793,0.885714285714286,0.274336283185841,0.418918918918919,0.718954248366013,0.716417910447761,0.993103448275862,0.832369942196532,0.888888888888889,0.123076923076923,0.216216216216216,0.723809523809524
"1200",0.70479704797048,0.989637305699482,0.823275862068966,0.942857142857143,0.292035398230089,0.445945945945946,0.73202614379085,0.703883495145631,1,0.826210826210826,1,0.0615384615384615,0.115942028985507,0.70952380952381
"1300",0.684587813620072,0.989637305699482,0.809322033898305,0.925925925925926,0.221238938053097,0.357142857142857,0.705882352941177,0.71078431372549,1,0.830945558739255,1,0.0923076923076923,0.169014084507042,0.719047619047619
"1400",0.692307692307692,0.979274611398964,0.811158798283262,0.878787878787879,0.256637168141593,0.397260273972603,0.712418300653595,0.717821782178218,1,0.835734870317003,1,0.123076923076923,0.219178082191781,0.728571428571429
"1500",0.688172043010753,0.994818652849741,0.813559322033898,0.962962962962963,0.230088495575221,0.371428571428571,0.712418300653595,0.714285714285714,1,0.833333333333333,1,0.107692307692308,0.194444444444444,0.723809523809524
"1600",0.667832167832168,0.989637305699482,0.797494780793319,0.9,0.15929203539823,0.270676691729323,0.683006535947712,0.703883495145631,1,0.826210826210826,1,0.0615384615384615,0.115942028985507,0.70952380952381
"1700",0.672473867595819,1,0.804166666666667,1,0.168141592920354,0.287878787878788,0.69281045751634,0.71078431372549,1,0.830945558739255,1,0.0923076923076923,0.169014084507042,0.719047619047619
"1800",0.660958904109589,1,0.795876288659794,1,0.123893805309735,0.220472440944882,0.676470588235294,0.703883495145631,1,0.826210826210826,1,0.0615384615384615,0.115942028985507,0.70952380952381
"1900",0.641196013289037,1,0.781376518218624,1,0.0442477876106195,0.0847457627118644,0.647058823529412,0.697115384615385,1,0.821529745042493,1,0.0307692307692308,0.0597014925373134,0.7
"2000",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2100",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2200",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2300",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2400",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2500",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2600",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2700",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2800",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"2900",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3000",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3100",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3200",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3300",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3400",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3500",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"3600",0.630718954248366,1,0.773547094188377,0,0,0,0.630718954248366,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
