"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100_3",0.704119850187266,0.974093264248705,0.817391304347826,0.871794871794872,0.300884955752212,0.447368421052632,0.725490196078431,0.717821782178218,1,0.835734870317003,1,0.123076923076923,0.219178082191781,0.728571428571429
"200_3",0.693430656934307,0.984455958549223,0.813704496788008,0.90625,0.256637168141593,0.4,0.715686274509804,0.714285714285714,1,0.833333333333333,1,0.107692307692308,0.194444444444444,0.723809523809524
"300_3",0.728682170542636,0.974093264248705,0.83370288248337,0.895833333333333,0.380530973451327,0.53416149068323,0.754901960784314,0.728643216080402,1,0.843023255813954,1,0.169230769230769,0.289473684210526,0.742857142857143
"400_3",0.748,0.968911917098446,0.844243792325056,0.892857142857143,0.442477876106195,0.591715976331361,0.774509803921569,0.738461538461539,0.993103448275862,0.847058823529412,0.933333333333333,0.215384615384615,0.35,0.752380952380952
"500_3",0.758196721311475,0.958549222797927,0.846681922196796,0.870967741935484,0.47787610619469,0.617142857142857,0.781045751633987,0.738461538461539,0.993103448275862,0.847058823529412,0.933333333333333,0.215384615384615,0.35,0.752380952380952
"600_3",0.758196721311475,0.958549222797927,0.846681922196796,0.870967741935484,0.47787610619469,0.617142857142857,0.781045751633987,0.742268041237113,0.993103448275862,0.849557522123894,0.9375,0.230769230769231,0.37037037037037,0.757142857142857
"700_3",0.756198347107438,0.948186528497409,0.841379310344828,0.84375,0.47787610619469,0.610169491525424,0.774509803921569,0.746113989637306,0.993103448275862,0.85207100591716,0.941176470588235,0.246153846153846,0.390243902439024,0.761904761904762
"800_3",0.759336099585062,0.948186528497409,0.84331797235023,0.846153846153846,0.486725663716814,0.617977528089888,0.777777777777778,0.746113989637306,0.993103448275862,0.85207100591716,0.941176470588235,0.246153846153846,0.390243902439024,0.761904761904762
"900_3",0.759336099585062,0.948186528497409,0.84331797235023,0.846153846153846,0.486725663716814,0.617977528089888,0.777777777777778,0.746113989637306,0.993103448275862,0.85207100591716,0.941176470588235,0.246153846153846,0.390243902439024,0.761904761904762
"1000_3",0.765690376569038,0.948186528497409,0.847222222222222,0.850746268656716,0.504424778761062,0.633333333333333,0.784313725490196,0.75,0.993103448275862,0.85459940652819,0.944444444444444,0.261538461538462,0.409638554216868,0.766666666666667
"1100_3",0.765690376569038,0.948186528497409,0.847222222222222,0.850746268656716,0.504424778761062,0.633333333333333,0.784313725490196,0.75,0.993103448275862,0.85459940652819,0.944444444444444,0.261538461538462,0.409638554216868,0.766666666666667
"1200_3",0.765690376569038,0.948186528497409,0.847222222222222,0.850746268656716,0.504424778761062,0.633333333333333,0.784313725490196,0.74869109947644,0.986206896551724,0.851190476190476,0.894736842105263,0.261538461538462,0.404761904761905,0.761904761904762
"1300_3",0.772151898734177,0.948186528497409,0.851162790697675,0.855072463768116,0.52212389380531,0.648351648351648,0.790849673202614,0.752631578947368,0.986206896551724,0.853731343283582,0.9,0.276923076923077,0.423529411764706,0.766666666666667
"1400_3",0.775423728813559,0.948186528497409,0.853146853146853,0.857142857142857,0.530973451327434,0.655737704918033,0.794117647058823,0.752631578947368,0.986206896551724,0.853731343283582,0.9,0.276923076923077,0.423529411764706,0.766666666666667
"1500_3",0.775423728813559,0.948186528497409,0.853146853146853,0.857142857142857,0.530973451327434,0.655737704918033,0.794117647058823,0.751322751322751,0.979310344827586,0.850299401197605,0.857142857142857,0.276923076923077,0.418604651162791,0.761904761904762
"1600_3",0.787878787878788,0.94300518134715,0.858490566037736,0.853333333333333,0.566371681415929,0.680851063829787,0.803921568627451,0.751322751322751,0.979310344827586,0.850299401197605,0.857142857142857,0.276923076923077,0.418604651162791,0.761904761904762
"1700_3",0.782051282051282,0.948186528497409,0.857142857142857,0.861111111111111,0.548672566371681,0.67027027027027,0.800653594771242,0.751322751322751,0.979310344827586,0.850299401197605,0.857142857142857,0.276923076923077,0.418604651162791,0.761904761904762
"1800_3",0.78695652173913,0.937823834196891,0.855791962174941,0.842105263157895,0.566371681415929,0.677248677248677,0.800653594771242,0.751322751322751,0.979310344827586,0.850299401197605,0.857142857142857,0.276923076923077,0.418604651162791,0.761904761904762
"1900_3",0.785407725321888,0.948186528497409,0.859154929577465,0.863013698630137,0.557522123893805,0.67741935483871,0.803921568627451,0.75531914893617,0.979310344827586,0.852852852852853,0.863636363636364,0.292307692307692,0.436781609195402,0.766666666666667
"2000_3",0.786026200873362,0.932642487046632,0.853080568720379,0.831168831168831,0.566371681415929,0.673684210526316,0.797385620915033,0.75531914893617,0.979310344827586,0.852852852852853,0.863636363636364,0.292307692307692,0.436781609195402,0.766666666666667
