Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Cross-language plagiarism detection","Language Resources and Evaluation","","45","1","10.1007/s10579-009-9114-z","Martin PotthastAlberto Barrón-CedeñoBenno SteinPaolo Rosso","2011","http://link.springer.com/article/10.1007/s10579-009-9114-z","Article"
"Modeling under-resourced languages for speech recognition","Language Resources and Evaluation","","51","4","10.1007/s10579-016-9336-9","Mikko KurimoSeppo EnarviOttokar TilkMatti VarjokallioAndré MansikkaniemiTanel Alumäe","2017","http://link.springer.com/article/10.1007/s10579-016-9336-9","Article"
"Bucking the trend: improved evaluation and annotation practices for ESL error detection systems","Language Resources and Evaluation","","48","1","10.1007/s10579-013-9243-2","Joel TetreaultMartin ChodorowNitin Madnani","2014","http://link.springer.com/article/10.1007/s10579-013-9243-2","Article"
"Open set evaluation of web genre identification","Language Resources and Evaluation","","52","4","10.1007/s10579-018-9418-y","Dimitrios PritsosEfstathios Stamatatos","2018","http://link.springer.com/article/10.1007/s10579-018-9418-y","Article"
"Filtering artificial texts with statistical machine learning techniques","Language Resources and Evaluation","","45","1","10.1007/s10579-009-9113-0","Thomas LavergneTanguy UrvoyFrançois Yvon","2011","http://link.springer.com/article/10.1007/s10579-009-9113-0","Article"
"Abstracts and brief notices","Computers and the Humanities","","5","2","10.1007/BF02402283","","1970","http://link.springer.com/article/10.1007/BF02402283","Article"
"A Topical/Local Classifier for Word Sense Identification","Computers and the Humanities","","34","1 - 2","10.1023/A:1002463121011","Martin ChodorowClaudia LeacockGeorge A. Miller","2000","http://link.springer.com/article/10.1023/A%3A1002463121011","Article"
"A Method for Supporting Document Selection in Cross-language Information Retrieval and its Evaluation","Computers and the Humanities","","35","4","10.1023/A:1011877503081","Masami SuzukiNaomi InoueKazuo Hashimoto","2001","http://link.springer.com/article/10.1023/A%3A1011877503081","Article"
"Automated syntactic text description enhancement: The thematic structure of discourse utterances","Computers and the Humanities","","26","1","10.1007/BF00114886","Jules DuchastelLouis-Claude PaquinJacques Beauchemin","1992","http://link.springer.com/article/10.1007/BF00114886","Article"
"Silfide: A System for Open Access and Distributed Delivery of TEI Encoded Documents","Computers and the Humanities","","33","1 - 2","10.1023/A:1001787430094","Laurent RomaryPatrice BonhommeFlorence BruneseauxJean-Marie Pierrel","1999","http://link.springer.com/article/10.1023/A%3A1001787430094","Article"
"Directory of scholars active","Computers and the Humanities","","13","4","10.1007/BF02400146","","1979","http://link.springer.com/article/10.1007/BF02400146","Article"
"Book reviews","Computers and the Humanities","","16","3","10.1007/BF02259760","David RatkowskyHans FixH. L. SomersStig JohanssonWilhelm OttPaul BratleyMaribeth HenneyMichael E. Leesley","1982","http://link.springer.com/article/10.1007/BF02259760","Article"
"Introduction to the Special Issue on SENSEVAL","Computers and the Humanities","","34","1 - 2","10.1023/A:1002619001915","A. KilgarriffM. Palmer","2000","http://link.springer.com/article/10.1023/A%3A1002619001915","Article"
"Directory of scholars active","Computers and the Humanities","","1","5","10.1007/BF00055405","","1967","http://link.springer.com/article/10.1007/BF00055405","Article"
"A survey of computer-assisted research in modern German","Computers and the Humanities","","11","5","10.1007/BF02399175","David Chisholm","1977","http://link.springer.com/article/10.1007/BF02399175","Article"
"Dimensionality of dialogue act tagsets","Language Resources and Evaluation","","42","1","10.1007/s10579-008-9063-y","Andrei Popescu-Belis","2008","http://link.springer.com/article/10.1007/s10579-008-9063-y","Article"
"<tiger2/>: serialising the ISO SynAF syntactic object model","Language Resources and Evaluation","","49","1","10.1007/s10579-014-9288-x","Laurent RomaryAmir ZeldesFlorian Zipser","2015","http://link.springer.com/article/10.1007/s10579-014-9288-x","Article"
"Barbara McGillivray: Methods in Latin computational linguistics. (Brill’s studies in historical linguistics)","Language Resources and Evaluation","","49","4","10.1007/s10579-015-9305-8","Federico Boschetti","2015","http://link.springer.com/article/10.1007/s10579-015-9305-8","Article"
"TypeCraft collaborative databasing and resource sharing for linguists","Language Resources and Evaluation","","48","2","10.1007/s10579-013-9257-9","Dorothee BeermannPavel Mihaylov","2014","http://link.springer.com/article/10.1007/s10579-013-9257-9","Article"
"Creating a system for lexical substitutions from scratch using crowdsourcing","Language Resources and Evaluation","","47","1","10.1007/s10579-012-9180-5","Chris Biemann","2013","http://link.springer.com/article/10.1007/s10579-012-9180-5","Article"
"DuELME: a Dutch electronic lexicon of multiword expressions","Language Resources and Evaluation","","44","1 - 2","10.1007/s10579-009-9094-z","Nicole Grégoire","2010","http://link.springer.com/article/10.1007/s10579-009-9094-z","Article"
"Beyond sentence-level semantic role labeling: linking argument structures in discourse","Language Resources and Evaluation","","47","3","10.1007/s10579-012-9201-4","Josef RuppenhoferRussell Lee-GoldmanCaroline SporlederRoser Morante","2013","http://link.springer.com/article/10.1007/s10579-012-9201-4","Article"
"The joint student response analysis and recognizing textual entailment challenge: making sense of student responses in educational applications","Language Resources and Evaluation","","50","1","10.1007/s10579-015-9313-8","Myroslava O. DzikovskaRodney D. NielsenClaudia Leacock","2016","http://link.springer.com/article/10.1007/s10579-015-9313-8","Article"
"Validation of phonetic transcriptions in the context of automatic speech recognition","Language Resources and Evaluation","","41","2","10.1007/s10579-007-9033-9","Christophe Van BaelHenk van den HeuvelHelmer Strik","2007","http://link.springer.com/article/10.1007/s10579-007-9033-9","Article"
"By all these lovely tokens... Merging conflicting tokenizations","Language Resources and Evaluation","","46","1","10.1007/s10579-011-9161-0","Christian ChiarcosJulia RitzManfred Stede","2012","http://link.springer.com/article/10.1007/s10579-011-9161-0","Article"
"Dependency structure annotation in the IULA Spanish LSP Treebank","Language Resources and Evaluation","","49","2","10.1007/s10579-014-9280-5","Montserrat MarimonNúria Bel","2015","http://link.springer.com/article/10.1007/s10579-014-9280-5","Article"
"Large aligned treebanks for syntax-based machine translation","Language Resources and Evaluation","","51","2","10.1007/s10579-016-9369-0","Gideon KotzéVincent VandeghinsteScott MartensJörg Tiedemann","2017","http://link.springer.com/article/10.1007/s10579-016-9369-0","Article"
"SpatialML: annotation scheme, resources, and evaluation","Language Resources and Evaluation","","44","3","10.1007/s10579-010-9121-0","Inderjeet ManiChristy DoranDave HarrisJanet HitzemanRob QuimbyJustin RicherBen WellnerScott MardisSeamus Clancy","2010","http://link.springer.com/article/10.1007/s10579-010-9121-0","Article"
"The Role of Inference in the Temporal Annotation and Analysis of Text","Language Resources and Evaluation","","39","2 - 3","10.1007/s10579-005-7885-4","Andrea SetzerRobert GaizauskasMark Hepple","2005","http://link.springer.com/article/10.1007/s10579-005-7885-4","Article"
"Capturing divergence in dependency trees to improve syntactic projection","Language Resources and Evaluation","","48","4","10.1007/s10579-014-9273-4","Ryan GeorgiFei XiaWilliam D. Lewis","2014","http://link.springer.com/article/10.1007/s10579-014-9273-4","Article"
"Recent publications","Computers and the Humanities","","6","2","10.1007/BF02402034","","1971","http://link.springer.com/article/10.1007/BF02402034","Article"
"Computerized lemmatization without the use of a dictionary: A case study from Swedish Lexicology","Computers and the Humanities","","6","4","10.1007/BF02404268","Staffan Hellberg","1972","http://link.springer.com/article/10.1007/BF02404268","Article"
