Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Using Internet search engines to estimate word frequency","Behavior Research Methods, Instruments, & Computers","","34","2","10.3758/BF03195456","Irene V. BlairGeoffrey R. UrlandJennifer E. Ma","2002","http://link.springer.com/article/10.3758/BF03195456","Article"
"LAB: Linguistic Annotated Bibliography – a searchable portal for normed database information","Behavior Research Methods","","51","4","10.3758/s13428-018-1130-8","Erin M. BuchananK. D. ValentineNicholas P. Maxwell","2019","http://link.springer.com/article/10.3758/s13428-018-1130-8","Article"
"Espbase: A microsoft access tool for selecting symbol and icon sets for usability","Behavior Research Methods, Instruments, & Computers","","31","3","10.3758/BF03200729","Oscar de BruijnSiné McDougallMartin B. Curry","1999","http://link.springer.com/article/10.3758/BF03200729","Article"
"LEX I and II: Two databases of surface word forms for psycholinguistic research in Spanish","Behavior Research Methods, Instruments, & Computers","","28","3","10.3758/BF03200522","Julio SantiagoFernando JusticiaAlfonso PalmaDolores HuertasNicolás Gutiérrez","1996","http://link.springer.com/article/10.3758/BF03200522","Article"
"N-Watch: A program for deriving neighborhood size and other psycholinguistic statistics","Behavior Research Methods","","37","1","10.3758/BF03206399","Colin J. Davis","2005","http://link.springer.com/article/10.3758/BF03206399","Article"
"Word naming and psycholinguistic norms: Chinese","Behavior Research Methods","","39","2","10.3758/BF03193147","Youyi LiuHua ShuPing Li","2007","http://link.springer.com/article/10.3758/BF03193147","Article"
"Manulex-infra: Distributional characteristics of grapheme—phoneme mappings, and infralexical and lexical units in child-directed written material","Behavior Research Methods","","39","3","10.3758/BF03193029","Ronald PeeremanBernard LétéLiliane Sprenger-Charolles","2007","http://link.springer.com/article/10.3758/BF03193029","Article"
"The Developmental Lexicon Project: A behavioral database to investigate visual word recognition across the lifespan","Behavior Research Methods","","49","6","10.3758/s13428-016-0851-9","Pauline SchröterSascha Schroeder","2017","http://link.springer.com/article/10.3758/s13428-016-0851-9","Article"
"Emotional connotations of words related to authority and community","Behavior Research Methods","","47","3","10.3758/s13428-014-0494-7","Gesche SchauenburgJens AmbrasatTobias SchröderChristian von ScheveMarkus Conrad","2015","http://link.springer.com/article/10.3758/s13428-014-0494-7","Article"
"SyllabO+: A new tool to study sublexical phenomena in spoken Quebec French","Behavior Research Methods","","49","5","10.3758/s13428-016-0829-7","Pascale BédardAnne-Marie AudetPatrick DrouinJohanna-Pascale RoyJulie RivardPascale Tremblay","2017","http://link.springer.com/article/10.3758/s13428-016-0829-7","Article"
"LADEC: The Large Database of English Compounds","Behavior Research Methods","","51","5","10.3758/s13428-019-01282-6","Christina L. GagnéThomas L. SpaldingDaniel Schmidtke","2019","http://link.springer.com/article/10.3758/s13428-019-01282-6","Article"
"Anagram software for cognitive research that enables specification of psycholinguistic variables","Behavior Research Methods","","38","2","10.3758/BF03192769","Robert D. VincentYael K. GoldbergDebra A. Titone","2006","http://link.springer.com/article/10.3758/BF03192769","Article"
"AGSuite: Software to conduct feature analysis of artificial grammar learning performance","Behavior Research Methods","","49","5","10.3758/s13428-017-0899-1","Matthew T. CookChrissy M. ChubalaRandall K. Jamieson","2017","http://link.springer.com/article/10.3758/s13428-017-0899-1","Article"
"The bit in the middle and why it’s important: a computational analysis of the linguistic features of body paragraphs","Behavior Research Methods","","43","1","10.3758/s13428-010-0021-4","John C. MyersPhilip M. McCarthyNicholas D. DuranDanielle S. McNamara","2011","http://link.springer.com/article/10.3758/s13428-010-0021-4","Article"
