Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Progress in stylistics: Theory, statistics, computers","Computers and the Humanities","","25","6","10.1007/BF00141189","Louis Milic","1991","http://link.springer.com/article/10.1007/BF00141189","Article"
"Senses and Texts","Computers and the Humanities","","31","2","10.1023/A:1000516531139","Yorick Wilks","1997","http://link.springer.com/article/10.1023/A%3A1000516531139","Article"
"Automated concordances and word-indexes: Machine decisions and editorial revisions","Computers and the Humanities","","16","4","10.1007/BF02263544","Dolores M. Burton","1982","http://link.springer.com/article/10.1007/BF02263544","Article"
"Computer-Based Authorship Attribution Without Lexical Measures","Computers and the Humanities","","35","2","10.1023/A:1002681919510","E. StamatatosN. FakotakisG. Kokkinakis","2001","http://link.springer.com/article/10.1023/A%3A1002681919510","Article"
"Authorship attribution","Computers and the Humanities","","28","2","10.1007/BF01830689","David I. Holmes","1994","http://link.springer.com/article/10.1007/BF01830689","Article"
"Annual bibliography for 1973 and supplement to preceding years","Computers and the Humanities","","8","2","10.1007/BF02530744","","1974","http://link.springer.com/article/10.1007/BF02530744","Article"
