"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100",0.636963696369637,1,0.778225806451613,1,0.0265486725663717,0.0517241379310345,0.640522875816993,0.707317073170732,1,0.828571428571429,1,0.0769230769230769,0.142857142857143,0.714285714285714
"200",0.637873754152824,0.994818652849741,0.777327935222672,0.8,0.0353982300884956,0.0677966101694915,0.640522875816993,0.707317073170732,1,0.828571428571429,1,0.0769230769230769,0.142857142857143,0.714285714285714
"300",0.635761589403974,0.994818652849741,0.775757575757576,0.75,0.0265486725663717,0.0512820512820513,0.637254901960784,0.70048309178744,1,0.823863636363636,1,0.0461538461538462,0.0882352941176471,0.704761904761905
"400",0.637873754152824,0.994818652849741,0.777327935222672,0.8,0.0353982300884956,0.0677966101694915,0.640522875816993,0.697115384615385,1,0.821529745042493,1,0.0307692307692308,0.0597014925373134,0.7
"500",0.641196013289037,1,0.781376518218624,1,0.0442477876106195,0.0847457627118644,0.647058823529412,0.697115384615385,1,0.821529745042493,1,0.0307692307692308,0.0597014925373134,0.7
"600",0.636963696369637,1,0.778225806451613,1,0.0265486725663717,0.0517241379310345,0.640522875816993,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"700",0.634868421052632,1,0.776659959758551,1,0.0176991150442478,0.0347826086956522,0.637254901960784,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"800",0.634868421052632,1,0.776659959758551,1,0.0176991150442478,0.0347826086956522,0.637254901960784,0.69377990430622,1,0.819209039548023,1,0.0153846153846154,0.0303030303030303,0.695238095238095
"900",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"1000",0.634868421052632,1,0.776659959758551,1,0.0176991150442478,0.0347826086956522,0.637254901960784,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"1100",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"1200",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"1300",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"1400",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
"1500",0.632786885245902,1,0.775100401606426,1,0.00884955752212389,0.0175438596491228,0.633986928104575,0.69047619047619,1,0.816901408450704,0,0,0,0.69047619047619
