,precision0_dev,recall0_dev,f1_score0_dev,precision1_dev,recall1_dev,f1_score1_dev,accuracy_dev,precision0_testing,recall0_testing,f1_score0_testing,precision1_testing,recall1_testing,f1_score1_testing,accuracy_testing
100_3,0.888349515,0.948186528,0.917293233,0.9,0.796460177,0.845070423,0.892156863,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
200_3,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
300_3,0.875,0.943005181,0.907730673,0.887755102,0.769911504,0.82464455,0.879084967,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
400_3,0.887804878,0.943005181,0.914572864,0.891089109,0.796460177,0.841121495,0.888888889,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
500_3,0.892682927,0.948186528,0.91959799,0.900990099,0.805309735,0.85046729,0.895424837,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
600_3,0.87804878,0.932642487,0.904522613,0.871287129,0.778761062,0.822429907,0.875816993,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
700_3,0.883495146,0.943005181,0.912280702,0.89,0.787610619,0.835680751,0.885620915,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
800_3,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
900_3,0.883495146,0.943005181,0.912280702,0.89,0.787610619,0.835680751,0.885620915,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
1000_3,0.883495146,0.943005181,0.912280702,0.89,0.787610619,0.835680751,0.885620915,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
1100_3,0.865384615,0.932642487,0.897755611,0.867346939,0.752212389,0.805687204,0.866013072,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
1200_3,0.892156863,0.943005181,0.916876574,0.892156863,0.805309735,0.846511628,0.892156863,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
1300_3,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
1400_3,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.84939759,0.972413793,0.906752412,0.909090909,0.615384615,0.733944954,0.861904762
1500_3,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
1600_3,0.873786408,0.932642487,0.902255639,0.87,0.769911504,0.816901408,0.87254902,0.87037037,0.972413793,0.918566775,0.916666667,0.676923077,0.778761062,0.880952381
1700_3,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
1800_3,0.874396135,0.937823834,0.905,0.878787879,0.769911504,0.820754717,0.875816993,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
1900_3,0.874396135,0.937823834,0.905,0.878787879,0.769911504,0.820754717,0.875816993,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
2000_3,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
2100_3,0.874396135,0.937823834,0.905,0.878787879,0.769911504,0.820754717,0.875816993,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
2200_3,0.866028708,0.937823834,0.900497512,0.87628866,0.752212389,0.80952381,0.869281046,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
2300_3,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
2400_3,0.875,0.943005181,0.907730673,0.887755102,0.769911504,0.82464455,0.879084967,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
2500_3,0.873170732,0.92746114,0.899497487,0.861386139,0.769911504,0.813084112,0.869281046,0.854545455,0.972413793,0.909677419,0.911111111,0.630769231,0.745454545,0.866666667
2600_3,0.870192308,0.937823834,0.902743142,0.87755102,0.761061947,0.815165877,0.87254902,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
2700_3,0.865384615,0.932642487,0.897755611,0.867346939,0.752212389,0.805687204,0.866013072,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
2800_3,0.87804878,0.932642487,0.904522613,0.871287129,0.778761062,0.822429907,0.875816993,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
2900_3,0.87804878,0.932642487,0.904522613,0.871287129,0.778761062,0.822429907,0.875816993,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
3000_3,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
3100_3,0.87745098,0.92746114,0.901763224,0.862745098,0.778761062,0.818604651,0.87254902,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
3200_3,0.873786408,0.932642487,0.902255639,0.87,0.769911504,0.816901408,0.87254902,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3300_3,0.873786408,0.932642487,0.902255639,0.87,0.769911504,0.816901408,0.87254902,0.850299401,0.979310345,0.91025641,0.930232558,0.615384615,0.740740741,0.866666667
3400_3,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.850299401,0.979310345,0.91025641,0.930232558,0.615384615,0.740740741,0.866666667
3500_3,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3600_3,0.870192308,0.937823834,0.902743142,0.87755102,0.761061947,0.815165877,0.87254902,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
3700_3,0.876847291,0.922279793,0.898989899,0.854368932,0.778761062,0.814814815,0.869281046,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
3800_3,0.86407767,0.922279793,0.892230576,0.85,0.752212389,0.798122066,0.859477124,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
3900_3,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
4000_3,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
100_4,0.905,0.937823834,0.921119593,0.886792453,0.831858407,0.858447489,0.89869281,0.86875,0.95862069,0.91147541,0.88,0.676923077,0.765217391,0.871428571
200_4,0.900497512,0.937823834,0.918781726,0.885714286,0.82300885,0.853211009,0.895424837,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
300_4,0.896039604,0.937823834,0.916455696,0.884615385,0.814159292,0.847926267,0.892156863,0.858024691,0.95862069,0.905537459,0.875,0.646153846,0.743362832,0.861904762
400_4,0.892156863,0.943005181,0.916876574,0.892156863,0.805309735,0.846511628,0.892156863,0.87037037,0.972413793,0.918566775,0.916666667,0.676923077,0.778761062,0.880952381
500_4,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
600_4,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
700_4,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
800_4,0.887804878,0.943005181,0.914572864,0.891089109,0.796460177,0.841121495,0.888888889,0.853658537,0.965517241,0.906148867,0.891304348,0.630769231,0.738738739,0.861904762
900_4,0.879227053,0.943005181,0.91,0.888888889,0.778761062,0.830188679,0.882352941,0.852760736,0.95862069,0.902597403,0.872340426,0.630769231,0.732142857,0.857142857
1000_4,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
1100_4,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
1200_4,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
1300_4,0.896039604,0.937823834,0.916455696,0.884615385,0.814159292,0.847926267,0.892156863,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
1400_4,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
1500_4,0.892156863,0.943005181,0.916876574,0.892156863,0.805309735,0.846511628,0.892156863,0.854545455,0.972413793,0.909677419,0.911111111,0.630769231,0.745454545,0.866666667
1600_4,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
1700_4,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
1800_4,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
1900_4,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
2000_4,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
2100_4,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.850299401,0.979310345,0.91025641,0.930232558,0.615384615,0.740740741,0.866666667
2200_4,0.9,0.932642487,0.916030534,0.877358491,0.82300885,0.849315068,0.892156863,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
2300_4,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
2400_4,0.879227053,0.943005181,0.91,0.888888889,0.778761062,0.830188679,0.882352941,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
2500_4,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.854545455,0.972413793,0.909677419,0.911111111,0.630769231,0.745454545,0.866666667
2600_4,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
2700_4,0.881773399,0.92746114,0.904040404,0.86407767,0.787610619,0.824074074,0.875816993,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
2800_4,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
2900_4,0.87804878,0.932642487,0.904522613,0.871287129,0.778761062,0.822429907,0.875816993,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
3000_4,0.886699507,0.932642487,0.909090909,0.873786408,0.796460177,0.833333333,0.882352941,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3100_4,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3200_4,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
3300_4,0.886699507,0.932642487,0.909090909,0.873786408,0.796460177,0.833333333,0.882352941,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
3400_4,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.863354037,0.95862069,0.908496732,0.87755102,0.661538462,0.754385965,0.866666667
3500_4,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.855421687,0.979310345,0.91318328,0.931818182,0.630769231,0.752293578,0.871428571
3600_4,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
3700_4,0.886699507,0.932642487,0.909090909,0.873786408,0.796460177,0.833333333,0.882352941,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3800_4,0.87804878,0.932642487,0.904522613,0.871287129,0.778761062,0.822429907,0.875816993,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
3900_4,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
4000_4,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
100_5,0.900497512,0.937823834,0.918781726,0.885714286,0.82300885,0.853211009,0.895424837,0.867088608,0.944827586,0.904290429,0.846153846,0.676923077,0.752136752,0.861904762
200_5,0.895522388,0.932642487,0.913705584,0.876190476,0.814159292,0.844036697,0.888888889,0.8625,0.951724138,0.904918033,0.86,0.661538462,0.747826087,0.861904762
300_5,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.8625,0.951724138,0.904918033,0.86,0.661538462,0.747826087,0.861904762
400_5,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.874213836,0.95862069,0.914473684,0.882352941,0.692307692,0.775862069,0.876190476
500_5,0.901477833,0.948186528,0.924242424,0.902912621,0.82300885,0.861111111,0.901960784,0.880503145,0.965517241,0.921052632,0.901960784,0.707692308,0.793103448,0.885714286
600_5,0.9,0.932642487,0.916030534,0.877358491,0.82300885,0.849315068,0.892156863,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
700_5,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
800_5,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
900_5,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
1000_5,0.9,0.932642487,0.916030534,0.877358491,0.82300885,0.849315068,0.892156863,0.87037037,0.972413793,0.918566775,0.916666667,0.676923077,0.778761062,0.880952381
1100_5,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
1200_5,0.891625616,0.937823834,0.914141414,0.883495146,0.805309735,0.842592593,0.888888889,0.87037037,0.972413793,0.918566775,0.916666667,0.676923077,0.778761062,0.880952381
1300_5,0.9,0.932642487,0.916030534,0.877358491,0.82300885,0.849315068,0.892156863,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
1400_5,0.895522388,0.932642487,0.913705584,0.876190476,0.814159292,0.844036697,0.888888889,0.853658537,0.965517241,0.906148867,0.891304348,0.630769231,0.738738739,0.861904762
1500_5,0.905,0.937823834,0.921119593,0.886792453,0.831858407,0.858447489,0.89869281,0.87037037,0.972413793,0.918566775,0.916666667,0.676923077,0.778761062,0.880952381
1600_5,0.886699507,0.932642487,0.909090909,0.873786408,0.796460177,0.833333333,0.882352941,0.88125,0.972413793,0.924590164,0.92,0.707692308,0.8,0.89047619
1700_5,0.886699507,0.932642487,0.909090909,0.873786408,0.796460177,0.833333333,0.882352941,0.864197531,0.965517241,0.912052117,0.895833333,0.661538462,0.761061947,0.871428571
1800_5,0.895522388,0.932642487,0.913705584,0.876190476,0.814159292,0.844036697,0.888888889,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
1900_5,0.891089109,0.932642487,0.911392405,0.875,0.805309735,0.838709677,0.885620915,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
2000_5,0.890547264,0.92746114,0.908629442,0.866666667,0.805309735,0.834862385,0.882352941,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
2100_5,0.884057971,0.948186528,0.915,0.898989899,0.787610619,0.839622642,0.888888889,0.87654321,0.979310345,0.925081433,0.9375,0.692307692,0.796460177,0.89047619
2200_5,0.879807692,0.948186528,0.912718204,0.897959184,0.778761062,0.834123223,0.885620915,0.863354037,0.95862069,0.908496732,0.87755102,0.661538462,0.754385965,0.866666667
2300_5,0.887804878,0.943005181,0.914572864,0.891089109,0.796460177,0.841121495,0.888888889,0.869565217,0.965517241,0.91503268,0.897959184,0.676923077,0.771929825,0.876190476
2400_5,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
2500_5,0.882926829,0.937823834,0.909547739,0.881188119,0.787610619,0.831775701,0.882352941,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
2600_5,0.892156863,0.943005181,0.916876574,0.892156863,0.805309735,0.846511628,0.892156863,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
2700_5,0.870192308,0.937823834,0.902743142,0.87755102,0.761061947,0.815165877,0.87254902,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
2800_5,0.875,0.943005181,0.907730673,0.887755102,0.769911504,0.82464455,0.879084967,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
2900_5,0.878640777,0.937823834,0.90726817,0.88,0.778761062,0.82629108,0.879084967,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
3000_5,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.858895706,0.965517241,0.909090909,0.893617021,0.646153846,0.75,0.866666667
3100_5,0.873786408,0.932642487,0.902255639,0.87,0.769911504,0.816901408,0.87254902,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
3200_5,0.874396135,0.937823834,0.905,0.878787879,0.769911504,0.820754717,0.875816993,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3300_5,0.887804878,0.943005181,0.914572864,0.891089109,0.796460177,0.841121495,0.888888889,0.871165644,0.979310345,0.922077922,0.936170213,0.676923077,0.785714286,0.885714286
3400_5,0.875,0.943005181,0.907730673,0.887755102,0.769911504,0.82464455,0.879084967,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
3500_5,0.882352941,0.932642487,0.906801008,0.87254902,0.787610619,0.827906977,0.879084967,0.859756098,0.972413793,0.912621359,0.913043478,0.646153846,0.756756757,0.871428571
3600_5,0.883495146,0.943005181,0.912280702,0.89,0.787610619,0.835680751,0.885620915,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
3700_5,0.869565217,0.932642487,0.9,0.868686869,0.761061947,0.811320755,0.869281046,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
3800_5,0.870813397,0.943005181,0.905472637,0.886597938,0.761061947,0.819047619,0.875816993,0.865853659,0.979310345,0.919093851,0.934782609,0.661538462,0.774774775,0.880952381
3900_5,0.883495146,0.943005181,0.912280702,0.89,0.787610619,0.835680751,0.885620915,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
4000_5,0.887254902,0.937823834,0.911838791,0.882352941,0.796460177,0.837209302,0.885620915,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
100_6,0.873786408,0.932642487,0.902255639,0.87,0.769911504,0.816901408,0.87254902,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
200_6,0.870192308,0.937823834,0.902743142,0.87755102,0.761061947,0.815165877,0.87254902,0.860606061,0.979310345,0.916129032,0.933333333,0.646153846,0.763636364,0.876190476
300_6,0.866666667,0.943005181,0.903225806,0.885416667,0.752212389,0.813397129,0.87254902,0.865030675,0.972413793,0.915584416,0.914893617,0.661538462,0.767857143,0.876190476
