"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100",0.855,0.886010362694301,0.870229007633588,0.792452830188679,0.743362831858407,0.767123287671233,0.833333333333333,0.894736842105263,0.937931034482759,0.915824915824916,0.844827586206897,0.753846153846154,0.796747967479675,0.880952380952381
"200",0.849246231155779,0.875647668393782,0.862244897959184,0.775700934579439,0.734513274336283,0.754545454545455,0.823529411764706,0.875,0.917241379310345,0.895622895622896,0.793103448275862,0.707692307692308,0.747967479674797,0.852380952380952
"300",0.865979381443299,0.870466321243523,0.868217054263566,0.776785714285714,0.769911504424779,0.773333333333333,0.833333333333333,0.87012987012987,0.924137931034483,0.896321070234114,0.803571428571429,0.692307692307692,0.743801652892562,0.852380952380952
"400",0.869109947643979,0.860103626943005,0.864583333333333,0.765217391304348,0.778761061946903,0.771929824561404,0.830065359477124,0.891156462585034,0.903448275862069,0.897260273972603,0.777777777777778,0.753846153846154,0.765625,0.857142857142857
"500",0.888297872340426,0.865284974093264,0.876640419947507,0.779661016949153,0.814159292035398,0.796536796536797,0.84640522875817,0.877551020408163,0.889655172413793,0.883561643835616,0.746031746031746,0.723076923076923,0.734375,0.838095238095238
"600",0.867724867724868,0.849740932642487,0.858638743455497,0.752136752136752,0.778761061946903,0.765217391304348,0.823529411764706,0.880794701986755,0.917241379310345,0.898648648648649,0.796610169491525,0.723076923076923,0.758064516129032,0.857142857142857
"700",0.877659574468085,0.854922279792746,0.866141732283465,0.76271186440678,0.79646017699115,0.779220779220779,0.833333333333333,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"800",0.881720430107527,0.849740932642487,0.865435356200528,0.758333333333333,0.805309734513274,0.781115879828326,0.833333333333333,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"900",0.888888888888889,0.829015544041451,0.857908847184987,0.738095238095238,0.823008849557522,0.778242677824268,0.826797385620915,0.887417218543046,0.924137931034483,0.905405405405405,0.813559322033898,0.738461538461539,0.774193548387097,0.866666666666667
"1000",0.903954802259887,0.829015544041451,0.864864864864865,0.744186046511628,0.849557522123894,0.793388429752066,0.836601307189543,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"1100",0.895027624309392,0.839378238341969,0.866310160427808,0.752,0.831858407079646,0.789915966386555,0.836601307189543,0.891891891891892,0.910344827586207,0.901023890784983,0.790322580645161,0.753846153846154,0.771653543307087,0.861904761904762
"1200",0.906593406593407,0.854922279792746,0.88,0.774193548387097,0.849557522123894,0.810126582278481,0.852941176470588,0.917808219178082,0.924137931034483,0.920962199312715,0.828125,0.815384615384615,0.821705426356589,0.89047619047619
"1300",0.903225806451613,0.870466321243523,0.886543535620053,0.791666666666667,0.84070796460177,0.815450643776824,0.859477124183007,0.893333333333333,0.924137931034483,0.908474576271186,0.816666666666667,0.753846153846154,0.784,0.871428571428571
"1400",0.912087912087912,0.860103626943005,0.885333333333333,0.782258064516129,0.858407079646018,0.818565400843882,0.859477124183007,0.906666666666667,0.937931034482759,0.922033898305085,0.85,0.784615384615385,0.816,0.89047619047619
"1500",0.902173913043478,0.860103626943005,0.880636604774536,0.778688524590164,0.84070796460177,0.808510638297872,0.852941176470588,0.912162162162162,0.931034482758621,0.921501706484642,0.838709677419355,0.8,0.818897637795276,0.89047619047619
"1600",0.903225806451613,0.870466321243523,0.886543535620053,0.791666666666667,0.84070796460177,0.815450643776824,0.859477124183007,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"1700",0.912087912087912,0.860103626943005,0.885333333333333,0.782258064516129,0.858407079646018,0.818565400843882,0.859477124183007,0.894039735099338,0.931034482758621,0.912162162162162,0.830508474576271,0.753846153846154,0.790322580645161,0.876190476190476
"1800",0.907608695652174,0.865284974093264,0.885941644562334,0.786885245901639,0.849557522123894,0.817021276595745,0.859477124183007,0.894736842105263,0.937931034482759,0.915824915824916,0.844827586206897,0.753846153846154,0.796747967479675,0.880952380952381
"1900",0.91304347826087,0.870466321243523,0.891246684350133,0.795081967213115,0.858407079646018,0.825531914893617,0.866013071895425,0.888157894736842,0.931034482758621,0.909090909090909,0.827586206896552,0.738461538461539,0.780487804878049,0.871428571428571
"2000",0.908108108108108,0.870466321243523,0.888888888888889,0.793388429752066,0.849557522123894,0.820512820512821,0.862745098039216,0.887417218543046,0.924137931034483,0.905405405405405,0.813559322033898,0.738461538461539,0.774193548387097,0.866666666666667
"2100",0.912568306010929,0.865284974093264,0.888297872340426,0.788617886178862,0.858407079646018,0.822033898305085,0.862745098039216,0.87741935483871,0.937931034482759,0.906666666666667,0.836363636363636,0.707692307692308,0.766666666666667,0.866666666666667
"2200",0.917582417582418,0.865284974093264,0.890666666666667,0.790322580645161,0.867256637168142,0.827004219409283,0.866013071895425,0.888888888888889,0.937931034482759,0.912751677852349,0.842105263157895,0.738461538461539,0.786885245901639,0.876190476190476
"2300",0.917127071823204,0.860103626943005,0.887700534759358,0.784,0.867256637168142,0.823529411764706,0.862745098039216,0.888157894736842,0.931034482758621,0.909090909090909,0.827586206896552,0.738461538461539,0.780487804878049,0.871428571428571
"2400",0.912087912087912,0.860103626943005,0.885333333333333,0.782258064516129,0.858407079646018,0.818565400843882,0.859477124183007,0.893333333333333,0.924137931034483,0.908474576271186,0.816666666666667,0.753846153846154,0.784,0.871428571428571
"2500",0.912568306010929,0.865284974093264,0.888297872340426,0.788617886178862,0.858407079646018,0.822033898305085,0.862745098039216,0.881578947368421,0.924137931034483,0.902356902356902,0.810344827586207,0.723076923076923,0.764227642276423,0.861904761904762
"2600",0.923076923076923,0.870466321243523,0.896,0.798387096774194,0.876106194690266,0.835443037974684,0.872549019607843,0.888157894736842,0.931034482758621,0.909090909090909,0.827586206896552,0.738461538461539,0.780487804878049,0.871428571428571
"2700",0.918032786885246,0.870466321243523,0.893617021276596,0.796747967479675,0.867256637168142,0.830508474576271,0.869281045751634,0.882352941176471,0.931034482758621,0.906040268456376,0.824561403508772,0.723076923076923,0.770491803278688,0.866666666666667
"2800",0.918032786885246,0.870466321243523,0.893617021276596,0.796747967479675,0.867256637168142,0.830508474576271,0.869281045751634,0.883116883116883,0.937931034482759,0.909698996655518,0.839285714285714,0.723076923076923,0.776859504132231,0.871428571428571
"2900",0.918478260869565,0.875647668393782,0.896551724137931,0.80327868852459,0.867256637168142,0.834042553191489,0.872549019607843,0.882352941176471,0.931034482758621,0.906040268456376,0.824561403508772,0.723076923076923,0.770491803278688,0.866666666666667
"3000",0.918478260869565,0.875647668393782,0.896551724137931,0.80327868852459,0.867256637168142,0.834042553191489,0.872549019607843,0.883870967741936,0.944827586206897,0.913333333333333,0.854545454545454,0.723076923076923,0.783333333333333,0.876190476190476
"3100",0.913513513513514,0.875647668393782,0.894179894179894,0.801652892561983,0.858407079646018,0.829059829059829,0.869281045751634,0.883116883116883,0.937931034482759,0.909698996655518,0.839285714285714,0.723076923076923,0.776859504132231,0.871428571428571
"3200",0.917582417582418,0.865284974093264,0.890666666666667,0.790322580645161,0.867256637168142,0.827004219409283,0.866013071895425,0.883116883116883,0.937931034482759,0.909698996655518,0.839285714285714,0.723076923076923,0.776859504132231,0.871428571428571
"3300",0.918032786885246,0.870466321243523,0.893617021276596,0.796747967479675,0.867256637168142,0.830508474576271,0.869281045751634,0.883116883116883,0.937931034482759,0.909698996655518,0.839285714285714,0.723076923076923,0.776859504132231,0.871428571428571
"3400",0.917582417582418,0.865284974093264,0.890666666666667,0.790322580645161,0.867256637168142,0.827004219409283,0.866013071895425,0.883116883116883,0.937931034482759,0.909698996655518,0.839285714285714,0.723076923076923,0.776859504132231,0.871428571428571
