"","precision0_dev","recall0_dev","f1_score0_dev","precision1_dev","recall1_dev","f1_score1_dev","accuracy_dev","precision0_testing","recall0_testing","f1_score0_testing","precision1_testing","recall1_testing","f1_score1_testing","accuracy_testing"
"100",0.910614525139665,0.844559585492228,0.876344086021505,0.763779527559055,0.858407079646018,0.808333333333333,0.849673202614379,0.910344827586207,0.910344827586207,0.910344827586207,0.8,0.8,0.8,0.876190476190476
"200",0.903954802259887,0.829015544041451,0.864864864864865,0.744186046511628,0.849557522123894,0.793388429752066,0.836601307189543,0.884353741496599,0.896551724137931,0.89041095890411,0.761904761904762,0.738461538461539,0.75,0.847619047619048
"300",0.92090395480226,0.844559585492228,0.881081081081081,0.767441860465116,0.876106194690266,0.818181818181818,0.856209150326797,0.89261744966443,0.917241379310345,0.904761904761905,0.80327868852459,0.753846153846154,0.777777777777778,0.866666666666667
"400",0.927777777777778,0.865284974093264,0.89544235924933,0.793650793650794,0.884955752212389,0.836820083682008,0.872549019607843,0.888157894736842,0.931034482758621,0.909090909090909,0.827586206896552,0.738461538461539,0.780487804878049,0.871428571428571
"500",0.927374301675978,0.860103626943005,0.89247311827957,0.78740157480315,0.884955752212389,0.833333333333333,0.869281045751634,0.89261744966443,0.917241379310345,0.904761904761905,0.80327868852459,0.753846153846154,0.777777777777778,0.866666666666667
"600",0.92817679558011,0.870466321243523,0.898395721925134,0.8,0.884955752212389,0.840336134453782,0.875816993464052,0.9,0.931034482758621,0.915254237288136,0.833333333333333,0.769230769230769,0.8,0.880952380952381
"700",0.939226519337017,0.880829015544041,0.909090909090909,0.816,0.902654867256637,0.857142857142857,0.888888888888889,0.9,0.931034482758621,0.915254237288136,0.833333333333333,0.769230769230769,0.8,0.880952380952381
"800",0.938888888888889,0.875647668393782,0.906166219839142,0.80952380952381,0.902654867256637,0.853556485355649,0.88562091503268,0.894039735099338,0.931034482758621,0.912162162162162,0.830508474576271,0.753846153846154,0.790322580645161,0.876190476190476
"900",0.939226519337017,0.880829015544041,0.909090909090909,0.816,0.902654867256637,0.857142857142857,0.888888888888889,0.894039735099338,0.931034482758621,0.912162162162162,0.830508474576271,0.753846153846154,0.790322580645161,0.876190476190476
"1000",0.93854748603352,0.870466321243523,0.903225806451613,0.803149606299213,0.902654867256637,0.85,0.882352941176471,0.887417218543046,0.924137931034483,0.905405405405405,0.813559322033898,0.738461538461539,0.774193548387097,0.866666666666667
"1100",0.938888888888889,0.875647668393782,0.906166219839142,0.80952380952381,0.902654867256637,0.853556485355649,0.88562091503268,0.886666666666667,0.917241379310345,0.901694915254237,0.8,0.738461538461539,0.768,0.861904761904762
"1200",0.938888888888889,0.875647668393782,0.906166219839142,0.80952380952381,0.902654867256637,0.853556485355649,0.88562091503268,0.886666666666667,0.917241379310345,0.901694915254237,0.8,0.738461538461539,0.768,0.861904761904762
"1300",0.938888888888889,0.875647668393782,0.906166219839142,0.80952380952381,0.902654867256637,0.853556485355649,0.88562091503268,0.886666666666667,0.917241379310345,0.901694915254237,0.8,0.738461538461539,0.768,0.861904761904762
"1400",0.938888888888889,0.875647668393782,0.906166219839142,0.80952380952381,0.902654867256637,0.853556485355649,0.88562091503268,0.89261744966443,0.917241379310345,0.904761904761905,0.80327868852459,0.753846153846154,0.777777777777778,0.866666666666667
"1500",0.939226519337017,0.880829015544041,0.909090909090909,0.816,0.902654867256637,0.857142857142857,0.888888888888889,0.89261744966443,0.917241379310345,0.904761904761905,0.80327868852459,0.753846153846154,0.777777777777778,0.866666666666667
"1600",0.939226519337017,0.880829015544041,0.909090909090909,0.816,0.902654867256637,0.857142857142857,0.888888888888889,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"1700",0.949438202247191,0.875647668393782,0.911051212938005,0.8125,0.920353982300885,0.863070539419087,0.892156862745098,0.894039735099338,0.931034482758621,0.912162162162162,0.830508474576271,0.753846153846154,0.790322580645161,0.876190476190476
"1800",0.95,0.886010362694301,0.916890080428954,0.825396825396825,0.920353982300885,0.870292887029289,0.898692810457516,0.893333333333333,0.924137931034483,0.908474576271186,0.816666666666667,0.753846153846154,0.784,0.871428571428571
"1900",0.950549450549451,0.896373056994819,0.922666666666667,0.838709677419355,0.920353982300885,0.877637130801688,0.905228758169935,0.887417218543046,0.924137931034483,0.905405405405405,0.813559322033898,0.738461538461539,0.774193548387097,0.866666666666667
"2000",0.945054945054945,0.89119170984456,0.917333333333333,0.830645161290323,0.911504424778761,0.869198312236287,0.898692810457516,0.893333333333333,0.924137931034483,0.908474576271186,0.816666666666667,0.753846153846154,0.784,0.871428571428571
"2100",0.945054945054945,0.89119170984456,0.917333333333333,0.830645161290323,0.911504424778761,0.869198312236287,0.898692810457516,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"2200",0.945355191256831,0.896373056994819,0.920212765957447,0.83739837398374,0.911504424778761,0.872881355932204,0.901960784313726,0.905405405405405,0.924137931034483,0.914675767918089,0.82258064516129,0.784615384615385,0.803149606299213,0.880952380952381
"2300",0.945355191256831,0.896373056994819,0.920212765957447,0.83739837398374,0.911504424778761,0.872881355932204,0.901960784313726,0.893333333333333,0.924137931034483,0.908474576271186,0.816666666666667,0.753846153846154,0.784,0.871428571428571
"2400",0.945355191256831,0.896373056994819,0.920212765957447,0.83739837398374,0.911504424778761,0.872881355932204,0.901960784313726,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"2500",0.945355191256831,0.896373056994819,0.920212765957447,0.83739837398374,0.911504424778761,0.872881355932204,0.901960784313726,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"2600",0.939890710382514,0.89119170984456,0.914893617021277,0.829268292682927,0.902654867256637,0.864406779661017,0.895424836601307,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"2700",0.939890710382514,0.89119170984456,0.914893617021277,0.829268292682927,0.902654867256637,0.864406779661017,0.895424836601307,0.894039735099338,0.931034482758621,0.912162162162162,0.830508474576271,0.753846153846154,0.790322580645161,0.876190476190476
"2800",0.939890710382514,0.89119170984456,0.914893617021277,0.829268292682927,0.902654867256637,0.864406779661017,0.895424836601307,0.9,0.931034482758621,0.915254237288136,0.833333333333333,0.769230769230769,0.8,0.880952380952381
"2900",0.939890710382514,0.89119170984456,0.914893617021277,0.829268292682927,0.902654867256637,0.864406779661017,0.895424836601307,0.9,0.931034482758621,0.915254237288136,0.833333333333333,0.769230769230769,0.8,0.880952380952381
"3000",0.939890710382514,0.89119170984456,0.914893617021277,0.829268292682927,0.902654867256637,0.864406779661017,0.895424836601307,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"3100",0.939890710382514,0.89119170984456,0.914893617021277,0.829268292682927,0.902654867256637,0.864406779661017,0.895424836601307,0.906040268456376,0.931034482758621,0.918367346938776,0.836065573770492,0.784615384615385,0.80952380952381,0.885714285714286
"3200",0.940217391304348,0.896373056994819,0.917771883289125,0.836065573770492,0.902654867256637,0.868085106382979,0.898692810457516,0.9,0.931034482758621,0.915254237288136,0.833333333333333,0.769230769230769,0.8,0.880952380952381
"3300",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.899328859060403,0.924137931034483,0.91156462585034,0.819672131147541,0.769230769230769,0.793650793650794,0.876190476190476
"3400",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"3500",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"3600",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"3700",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"3800",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.898648648648649,0.917241379310345,0.907849829351536,0.806451612903226,0.769230769230769,0.78740157480315,0.871428571428571
"3900",0.940860215053763,0.906735751295337,0.923482849604222,0.85,0.902654867256637,0.875536480686695,0.905228758169935,0.886666666666667,0.917241379310345,0.901694915254237,0.8,0.738461538461539,0.768,0.861904761904762
"4000",0.945945945945946,0.906735751295337,0.925925925925926,0.851239669421488,0.911504424778761,0.88034188034188,0.908496732026144,0.886666666666667,0.917241379310345,0.901694915254237,0.8,0.738461538461539,0.768,0.861904761904762
