Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"SUBTLEX-CAT: Subtitle word frequencies and contextual diversity for Catalan","Behavior Research Methods","","","","10.3758/s13428-019-01233-1","Roger BoadaMarc GuaschJuan HaroJosep DemestrePilar Ferré","2019","http://link.springer.com/article/10.3758/s13428-019-01233-1","Article"
"Dutch norm data for 13 semantic categories and 338 exemplars","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195597","Wim RutsSimon De DeyneEef AmeelWolf VanpaemelTimothy VerbeemenGert Storms","2004","http://link.springer.com/article/10.3758/BF03195597","Article"
"Subjective frequency and imageability ratings for 3,600 French nouns","Behavior Research Methods","","41","2","10.3758/BRM.41.2.546","Alain DesrochersGlenn L. Thompson","2009","http://link.springer.com/article/10.3758/BRM.41.2.546","Article"
"Corroborating biased indicators: Global and local agreement among objective and subjective estimates of printed word frequency","Behavior Research Methods","","41","2","10.3758/BRM.41.2.452","Glenn L. ThompsonAlain Desrochers","2009","http://link.springer.com/article/10.3758/BRM.41.2.452","Article"
"Q2Stress: A database for multiple cues to stress assignment in Italian","Behavior Research Methods","","49","6","10.3758/s13428-016-0845-7","Giacomo SpinelliSimone SulpizioCristina Burani","2017","http://link.springer.com/article/10.3758/s13428-016-0845-7","Article"
"Forthcoming articles","Behavior Research Methods, Instruments, & Computers","","32","3","10.3758/BF03200820","","2000","http://link.springer.com/article/10.3758/BF03200820","Article"
"Category norm data and relationships with lexical frequency and typicality within verb semantic categories","Behavior Research Methods","","43","2","10.3758/s13428-010-0051-y","Christopher PlantJanet WebsterAnne Whitworth","2011","http://link.springer.com/article/10.3758/s13428-010-0051-y","Article"
"Cross-validating the Berlin Affective Word List","Behavior Research Methods","","38","4","10.3758/BF03193892","Melissa L. H. VõArthur M. JacobsMarkus Conrad","2006","http://link.springer.com/article/10.3758/BF03193892","Article"
"A standardized set of 260 pictures for Modern Greek: Norms for name agreement, age of acquisition, and visual complexity","Behavior Research Methods","","41","2","10.3758/BRM.41.2.584","María DimitropoulouJon Andoni DuñabeitiaPanagiotis BlitsasManuel Carreiras","2009","http://link.springer.com/article/10.3758/BRM.41.2.584","Article"
"Timed picture naming: Extended norms and validation against previous studies","Behavior Research Methods, Instruments, & Computers","","35","4","10.3758/BF03195542","Anna SzékelySimonetta D’AmicoAntonella DevescoviKara FedermeierDan HerronGowri IyerThomas JacobsenElizabeth Bates","2003","http://link.springer.com/article/10.3758/BF03195542","Article"
"BuscaPalabras: A program for deriving orthographic and phonological neighborhood statistics and other psycholinguistic indices in Spanish","Behavior Research Methods","","37","4","10.3758/BF03192738","Colin J. DavisManuel Perea","2005","http://link.springer.com/article/10.3758/BF03192738","Article"
"ONESC: A database of orthographic neighbors for Spanish read by children","Behavior Research Methods","","40","1","10.3758/BRM.40.1.191","Jesús A. Martínez MartínM. Emma García Pérez","2008","http://link.springer.com/article/10.3758/BRM.40.1.191","Article"
"Index of norms and ratings published in the Psychonomic Society journals","Behavior Research Methods, Instruments, & Computers","","31","4","10.3758/BF03200742","Robert W. ProctorKim-Phuong L. Vu","1999","http://link.springer.com/article/10.3758/BF03200742","Article"
"The Berlin Affective Word List Reloaded (BAWL-R)","Behavior Research Methods","","41","2","10.3758/BRM.41.2.534","Melissa L. H. VõMarkus ConradLars KuchinkeKarolina UrtonMarkus J. HofmannArthur M. Jacobs","2009","http://link.springer.com/article/10.3758/BRM.41.2.534","Article"
"Coh-Metrix: Analysis of text on cohesion and language","Behavior Research Methods, Instruments, & Computers","","36","2","10.3758/BF03195564","Arthur C. GraesserDanielle S. McNamaraMax M. LouwerseZhiqiang Cai","2004","http://link.springer.com/article/10.3758/BF03195564","Article"
"Using Internet search engines to estimate word frequency","Behavior Research Methods, Instruments, & Computers","","34","2","10.3758/BF03195456","Irene V. BlairGeoffrey R. UrlandJennifer E. Ma","2002","http://link.springer.com/article/10.3758/BF03195456","Article"
"Feedforward, -backward, and neutral transparency measures for Grade 1 and Grade 2 Greek readers","Behavior Research Methods","","42","1","10.3758/BRM.42.1.96","Kenneth A. SpencerNataly LoizidouJackie Mas Terson","2010","http://link.springer.com/article/10.3758/BRM.42.1.96","Article"
"SUBTLEX-NL: A new measure for Dutch word frequency based on film subtitles","Behavior Research Methods","","42","3","10.3758/BRM.42.3.643","Emmanuel KeuleersMarc BrysbaertBoris New","2010","http://link.springer.com/article/10.3758/BRM.42.3.643","Article"
"Forthcoming articles","Behavior Research Methods, Instruments, & Computers","","31","1","10.3758/BF03207709","","1999","http://link.springer.com/article/10.3758/BF03207709","Article"
"Forthcoming articles","Behavior Research Methods, Instruments, & Computers","","30","3","10.3758/BF03200691","","1998","http://link.springer.com/article/10.3758/BF03200691","Article"
"The British Lexicon Project: Lexical decision data for 28,730 monosyllabic and disyllabic English words","Behavior Research Methods","","44","1","10.3758/s13428-011-0118-4","Emmanuel KeuleersPaula LaceyKathleen RastleMarc Brysbaert","2012","http://link.springer.com/article/10.3758/s13428-011-0118-4","Article"
"Semantic diversity: A measure of semantic ambiguity based on variability in the contextual usage of words","Behavior Research Methods","","45","3","10.3758/s13428-012-0278-x","Paul HoffmanMatthew A. Lambon RalphTimothy T. Rogers","2013","http://link.springer.com/article/10.3758/s13428-012-0278-x","Article"
"A set of 150 pictures with morphologically complex English compound names: Norms for name agreement, familiarity, image agreement, and visual complexity","Behavior Research Methods","","43","2","10.3758/s13428-011-0065-0","Niels JanssenPetra E. PajtasAlfonso Caramazza","2011","http://link.springer.com/article/10.3758/s13428-011-0065-0","Article"
"Sentence-final word completion norms for European Portuguese children and adolescents","Behavior Research Methods","","42","4","10.3758/BRM.42.4.1022","Ana P. PinheiroAna P. SoaresMontserrat ComesañaMargaret NiznikiewiczÓscar F. Gonçalves","2010","http://link.springer.com/article/10.3758/BRM.42.4.1022","Article"
"Subjective age-of-acquisition norms for 7,039 Spanish words","Behavior Research Methods","","47","1","10.3758/s13428-014-0454-2","María Angeles AlonsoAngel FernandezEmiliano Díez","2015","http://link.springer.com/article/10.3758/s13428-014-0454-2","Article"
"Silex: A database for silent-letter endings in French words","Behavior Research Methods","","49","5","10.3758/s13428-016-0832-z","Maxime GingrasMonique Sénéchal","2017","http://link.springer.com/article/10.3758/s13428-016-0832-z","Article"
"Using the World-Wide Web to obtain large-scale word norms: 190,212 ratings on a set of 2,654 German nouns","Behavior Research Methods","","41","1","10.3758/BRM.41.1.13","Olaf LahlAnja S. GöritzReinhard PietrowskyJessica Rosenberg","2009","http://link.springer.com/article/10.3758/BRM.41.1.13","Article"
"An efficient method for estimating semantic similarity based on feature overlap: Reliability and validity of semantic feature ratings","Behavior Research Methods","","38","1","10.3758/BF03192761","William S. MakiMarissa KrimskySol Muñoz","2006","http://link.springer.com/article/10.3758/BF03192761","Article"
"Age of acquisition and imageability ratings for a large set of words, including verbs and function words","Behavior Research Methods, Instruments, & Computers","","33","1","10.3758/BF03195349","Helen BirdSue FranklinDavid Howard","2001","http://link.springer.com/article/10.3758/BF03195349","Article"
"Moving beyond Kučera and Francis: A critical evaluation of current word frequency norms and the introduction of a new and improved word frequency measure for American English","Behavior Research Methods","","41","4","10.3758/BRM.41.4.977","Marc BrysbaertBoris New","2009","http://link.springer.com/article/10.3758/BRM.41.4.977","Article"
"What’s in a name? The role of graphics, functions, and their interrelationships in icon identification","Behavior Research Methods","","41","2","10.3758/BRM.41.2.325","Siné McDougallSarah Isherwood","2009","http://link.springer.com/article/10.3758/BRM.41.2.325","Article"
"Grounding co-occurrence: Identifying features in a lexical co-occurrence model of semantic memory","Behavior Research Methods","","41","4","10.3758/BRM.41.4.1210","Kevin DurdaLori BuchananRichard Caron","2009","http://link.springer.com/article/10.3758/BRM.41.4.1210","Article"
"Identifying topic sentencehood","Behavior Research Methods","","40","3","10.3758/BRM.40.3.647","Philip M. McCarthyAdam M. RennerMichael G. DuncanNicholas D. DuranErin J. LightmanDanielle S. McNamara","2008","http://link.springer.com/article/10.3758/BRM.40.3.647","Article"
"Computer assessment of interview data using latent semantic analysis","Behavior Research Methods","","40","1","10.3758/BRM.40.1.8","Gregory DamStefan Kaufmann","2008","http://link.springer.com/article/10.3758/BRM.40.1.8","Article"
"The French Lexicon Project: Lexical decision data for 38,840 French words and 38,840 pseudowords","Behavior Research Methods","","42","2","10.3758/BRM.42.2.488","Ludovic FerrandBoris NewMarc BrysbaertEmmanuel KeuleersPatrick BoninAlain MéotMaria AugustinovaChristophe Pallier","2010","http://link.springer.com/article/10.3758/BRM.42.2.488","Article"
"A comparative quantitative analysis of Greek orthographic transparency","Behavior Research Methods","","41","4","10.3758/BRM.41.4.991","Athanassios ProtopapasEleni L. Vlahou","2009","http://link.springer.com/article/10.3758/BRM.41.4.991","Article"
"Anagram software for cognitive research that enables specification of psycholinguistic variables","Behavior Research Methods","","38","2","10.3758/BF03192769","Robert D. VincentYael K. GoldbergDebra A. Titone","2006","http://link.springer.com/article/10.3758/BF03192769","Article"
"Using temporal cohesion to predict temporal coherence in narrative and expository texts","Behavior Research Methods","","39","2","10.3758/BF03193150","Nicholas D. DuranPhilip M. McCarthyArt C. GraesserDanielle S. McNamara","2007","http://link.springer.com/article/10.3758/BF03193150","Article"
"Exemplar by feature applicability matrices and other Dutch normative data for semantic concepts","Behavior Research Methods","","40","4","10.3758/BRM.40.4.1030","Simon De DeyneSteven VerheyenEef AmeelWolf VanpaemelMatthew J. DryWouter VoorspoelsGert Storms","2008","http://link.springer.com/article/10.3758/BRM.40.4.1030","Article"
"A new set of 299 pictures for psycholinguistic studies: French norms for name agreement, image agreement, conceptual familiarity, visual complexity, image variability, age of acquisition, and naming latencies","Behavior Research Methods, Instruments, & Computers","","35","1","10.3758/BF03195507","Patrick BoninRonald PeeremanNathalie MalardierAlain MéotMarylène Chalard","2003","http://link.springer.com/article/10.3758/BF03195507","Article"
"Measuring incremental changes in word knowledge: Experimental validation and implications for learning and assessment","Behavior Research Methods","","40","4","10.3758/BRM.40.4.907","Gwen A. FrishkoffKevyn Collins-ThompsonCharles A. PerfettiJamie Callan","2008","http://link.springer.com/article/10.3758/BRM.40.4.907","Article"
"British-English norms and naming times for a set of 539 pictures: The role of age of acquisition","Behavior Research Methods","","42","2","10.3758/BRM.42.2.461","Robert A. JohnstonKevin DentGlyn W. HumphreysChris Barry","2010","http://link.springer.com/article/10.3758/BRM.42.2.461","Article"
"Using statistical smoothing to estimate the psycholinguistic acceptability of novel phrases","Behavior Research Methods","","40","1","10.3758/BRM.40.1.84","Matthew A. J. RobertsNick Chater","2008","http://link.springer.com/article/10.3758/BRM.40.1.84","Article"
"Free associations and dominance ratings of homophones for young and older adults","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195589","Katherine K. WhiteLise Abrams","2004","http://link.springer.com/article/10.3758/BF03195589","Article"
"Verbs in space: Axis and direction of motion norms for 299 English verbs","Behavior Research Methods","","41","2","10.3758/BRM.41.2.565","Lotte MeteyardGabriella Vigliocco","2009","http://link.springer.com/article/10.3758/BRM.41.2.565","Article"
"Psycholinguistic norms for action photographs in French and their relationships with spoken and written latencies","Behavior Research Methods, Instruments, & Computers","","36","1","10.3758/BF03195558","Patrick BoninBruno BoyerAlain MéotMichel FayolSylvie Droit","2004","http://link.springer.com/article/10.3758/BF03195558","Article"
"The Bristol norms for age of acquisition, imageability, and familiarity","Behavior Research Methods","","38","4","10.3758/BF03193891","Hans Stadthagen-GonzalezColin J. Davis","2006","http://link.springer.com/article/10.3758/BF03193891","Article"
"E-Hitz: A word frequency list and a program for deriving psycholinguistic statistics in an agglutinative language (Basque)","Behavior Research Methods","","38","4","10.3758/BF03193893","Manuel PereaMiriam UrkiaColin J. DavisAinhoa AgirreEdurne LasekaManuel Carreiras","2006","http://link.springer.com/article/10.3758/BF03193893","Article"
"Similarity relations among spoken words: The special status of rimes in English","Behavior Research Methods, Instruments, & Computers","","34","3","10.3758/BF03195470","Bruno De CaraUsha Goswami","2002","http://link.springer.com/article/10.3758/BF03195470","Article"
"N-Watch: A program for deriving neighborhood size and other psycholinguistic statistics","Behavior Research Methods","","37","1","10.3758/BF03206399","Colin J. Davis","2005","http://link.springer.com/article/10.3758/BF03206399","Article"
"Word frequency effects in high-dimensional co-occurrence models: A new approach","Behavior Research Methods","","38","2","10.3758/BF03192768","Cyrus ShaoulChris Westbury","2006","http://link.springer.com/article/10.3758/BF03192768","Article"
"NUANCE 3.0: Using genetic programming to model variable relationships","Behavior Research Methods","","38","2","10.3758/BF03192772","Geoff HollisChris F. WestburyJordan B. Peterson","2006","http://link.springer.com/article/10.3758/BF03192772","Article"
"Psycholinguistic norms and face naming times for photographs of celebrities in French","Behavior Research Methods","","40","1","10.3758/BRM.40.1.137","Patrick BoninCyril PerretAlain MéotLudovic FerrandMartial Mermillod","2008","http://link.springer.com/article/10.3758/BRM.40.1.137","Article"
"Chinese characters: Semantic and phonetic regularity norms for China, Singapore, and Taiwan","Behavior Research Methods, Instruments, & Computers","","31","1","10.3758/BF03207706","Susan J. Rickard LiowSiok Keng TngCher Leng Lee","1999","http://link.springer.com/article/10.3758/BF03207706","Article"
"Objective versus estimated age of word acquisition: A study of 202 Italian children","Behavior Research Methods","","37","4","10.3758/BF03192735","Riccardo BarbarottoMarcella LaiaconaErminio Capitani","2005","http://link.springer.com/article/10.3758/BF03192735","Article"
"Objective age of acquisition for 223 Italian words: Norms and effects on picture naming speed","Behavior Research Methods","","42","1","10.3758/BRM.42.1.126","Lorella LottoLuca SurianRemo Job","2010","http://link.springer.com/article/10.3758/BRM.42.1.126","Article"
"Grapheme—phoneme probabilities in British English","Behavior Research Methods, Instruments, & Computers","","35","1","10.3758/BF03195506","P. F. D. GontijoI. GontijoR. Shillcock","2003","http://link.springer.com/article/10.3758/BF03195506","Article"
"Match: A program to assist in matching the conditions of factorial experiments","Behavior Research Methods","","39","4","10.3758/BF03192992","Maarten van CasterenMatthew H. Davis","2007","http://link.springer.com/article/10.3758/BF03192992","Article"
"The Tool for the Automatic Analysis of Cohesion 2.0: Integrating semantic similarity and text overlap","Behavior Research Methods","","51","1","10.3758/s13428-018-1142-4","Scott A. CrossleyKristopher KyleMihai Dascalu","2019","http://link.springer.com/article/10.3758/s13428-018-1142-4","Article"
"Abstract noun classification: using a neural network to match word context and word meaning","Behavior Research Methods, Instruments, & Computers","","30","2","10.3758/BF03200654","Katja Wiemer-Hastings","1998","http://link.springer.com/article/10.3758/BF03200654","Article"
"Objective age of acquisition norms for a set of 328 words in Spanish","Behavior Research Methods","","39","3","10.3758/BF03193006","Bernardo ÁlvarezFernando Cuetos","2007","http://link.springer.com/article/10.3758/BF03193006","Article"
"A contingent speech technique in eye movement research on reading","Behavior Research Methods, Instruments, & Computers","","34","4","10.3758/BF03195476","Albrecht W. InhoffCynthia ConnineRalph Radach","2002","http://link.springer.com/article/10.3758/BF03195476","Article"
"LAB: Linguistic Annotated Bibliography – a searchable portal for normed database information","Behavior Research Methods","","51","4","10.3758/s13428-018-1130-8","Erin M. BuchananK. D. ValentineNicholas P. Maxwell","2019","http://link.springer.com/article/10.3758/s13428-018-1130-8","Article"
"Frequency of meaning use for ambiguous and unambiguous words","Behavior Research Methods, Instruments, & Computers","","31","3","10.3758/BF03200731","Zenzi M. Griffin","1999","http://link.springer.com/article/10.3758/BF03200731","Article"
"Exploring lexical co-occurrence space using HiDEx","Behavior Research Methods","","42","2","10.3758/BRM.42.2.393","Cyrus ShaoulChris Westbury","2010","http://link.springer.com/article/10.3758/BRM.42.2.393","Article"
"The maze task: Measuring forced incremental sentence processing time","Behavior Research Methods","","41","1","10.3758/BRM.41.1.163","Kenneth I. ForsterChristine GuerreraLisa Elliot","2009","http://link.springer.com/article/10.3758/BRM.41.1.163","Article"
"The English Lexicon Project","Behavior Research Methods","","39","3","10.3758/BF03193014","David A. BalotaMelvin J. YapKeith A. HutchisonMichael J. CorteseBrett KesslerBjorn LoftisJames H. NeelyDouglas L. NelsonGreg B. SimpsonRebecca Treiman","2007","http://link.springer.com/article/10.3758/BF03193014","Article"
"Editorial","Behavior Research Methods","","42","1","10.3758/BRM.42.1.1","Gregory Francis","2010","http://link.springer.com/article/10.3758/BRM.42.1.1","Article"
"Noun–noun combination: Meaningfulness ratings and lexical statistics for 2,160 word pairs","Behavior Research Methods","","45","2","10.3758/s13428-012-0256-3","William W. GravesJeffrey R. BinderMark S. Seidenberg","2013","http://link.springer.com/article/10.3758/s13428-012-0256-3","Article"
"Adding part-of-speech information to the SUBTLEX-US word frequencies","Behavior Research Methods","","44","4","10.3758/s13428-012-0190-4","Marc BrysbaertBoris NewEmmanuel Keuleers","2012","http://link.springer.com/article/10.3758/s13428-012-0190-4","Article"
"The tool for the automatic analysis of text cohesion (TAACO): Automatic assessment of local, global, and text cohesion","Behavior Research Methods","","48","4","10.3758/s13428-015-0651-7","Scott A. CrossleyKristopher KyleDanielle S. McNamara","2016","http://link.springer.com/article/10.3758/s13428-015-0651-7","Article"
"The failing measurement of attitudes: How semantic determinants of individual survey responses come to replace measures of attitude strength","Behavior Research Methods","","50","6","10.3758/s13428-017-0999-y","Jan Ketil ArnulfKai Rune LarsenØyvind Lund MartinsenThore Egeland","2018","http://link.springer.com/article/10.3758/s13428-017-0999-y","Article"
"Validated intraclass correlation statistics to test item performance models","Behavior Research Methods","","43","1","10.3758/s13428-010-0020-5","Pierre CourrieuMuriele Brand-D’abresciaRonald PeeremanDaniel SpielerArnaud Rey","2011","http://link.springer.com/article/10.3758/s13428-010-0020-5","Article"
"Age of acquisition and imageability norms for base and morphologically complex words in English and in Spanish","Behavior Research Methods","","48","1","10.3758/s13428-015-0579-y","Shakiela K. DaviesCristina IzuraRosy SocasAlberto Dominguez","2016","http://link.springer.com/article/10.3758/s13428-015-0579-y","Article"
"The Minho Word Pool: Norms for imageability, concreteness, and subjective frequency for 3,800 Portuguese words","Behavior Research Methods","","49","3","10.3758/s13428-016-0767-4","Ana Paula SoaresAna Santos CostaJoão MachadoMontserrat ComesañaHelena Mendes Oliveira","2017","http://link.springer.com/article/10.3758/s13428-016-0767-4","Article"
"Spanish norms for completion of restricted length word stems","Behavior Research Methods","","49","5","10.3758/s13428-016-0834-x","María José SolerCarmen DasíJuan Carlos RuizTeresa Cervera","2017","http://link.springer.com/article/10.3758/s13428-016-0834-x","Article"
"Minho Affective Sentences (MAS): Probing the roles of sex, mood, and empathy in affective ratings of verbal stimuli","Behavior Research Methods","","49","2","10.3758/s13428-016-0726-0","Ana P. PinheiroMarcelo DiasJoão PedrosaAna P. Soares","2017","http://link.springer.com/article/10.3758/s13428-016-0726-0","Article"
"Natural language processing in an intelligent writing strategy tutoring system","Behavior Research Methods","","45","2","10.3758/s13428-012-0258-1","Danielle S. McNamaraScott A. CrossleyRod Roscoe","2013","http://link.springer.com/article/10.3758/s13428-012-0258-1","Article"
"German norms for semantic typicality, age of acquisition, and concept familiarity","Behavior Research Methods","","44","2","10.3758/s13428-011-0164-y","Astrid SchröderTeresa GemballaSteffie RuppinIsabell Wartenburger","2012","http://link.springer.com/article/10.3758/s13428-011-0164-y","Article"
"SYLLABARIUM: An online application for deriving complete statistics for Basque and Spanish orthographic syllables","Behavior Research Methods","","42","1","10.3758/BRM.42.1.118","Jon Andoni DuñabeitiaJoana CholinJosé CorralManuel PereaManuel Carreiras","2010","http://link.springer.com/article/10.3758/BRM.42.1.118","Article"
"Sensory experience ratings for 5,500 Spanish words","Behavior Research Methods","","51","3","10.3758/s13428-018-1057-0","Antonio M. Díez-ÁlamoEmiliano DíezDominika Zofia WojcikMaría Angeles AlonsoAngel Fernandez","2019","http://link.springer.com/article/10.3758/s13428-018-1057-0","Article"
"Subjective age-of-acquisition norms for 4,640 verbs in Spanish","Behavior Research Methods","","48","4","10.3758/s13428-015-0675-z","María Ángeles AlonsoEmiliano DíezAngel Fernandez","2016","http://link.springer.com/article/10.3758/s13428-015-0675-z","Article"
