Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Lexique 2 : A new French lexical database","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195598","Boris NewChristophe PallierMarc BrysbaertLudovic Ferrand","2004","http://link.springer.com/article/10.3758/BF03195598","Article"
"GreekLex: A lexical database of Modern Greek","Behavior Research Methods","","40","3","10.3758/BRM.40.3.773","Maria KtoriWalter J. B. van HeuvenNicola J. Pitchford","2008","http://link.springer.com/article/10.3758/BRM.40.3.773","Article"
"MANULEX: A grade-level lexical database from French elementary school readers","Behavior Research Methods, Instruments, & Computers","","36","1","10.3758/BF03195560","Bernard LétéLiliane Sprenger-CharollesPascale Colé","2004","http://link.springer.com/article/10.3758/BF03195560","Article"
"Aralex: A lexical database for Modern Standard Arabic","Behavior Research Methods","","42","2","10.3758/BRM.42.2.481","Sami BoudelaaWilliam D. Marslen-Wilson","2010","http://link.springer.com/article/10.3758/BRM.42.2.481","Article"
"LEXOP: A lexical database providing orthography-phonology statistics for French monosyllabic words","Behavior Research Methods, Instruments, & Computers","","31","2","10.3758/BF03207735","Ronald PeeremanAlain Content","1999","http://link.springer.com/article/10.3758/BF03207735","Article"
"A lexical database for spanish-speaking children","Behavior Research Methods, Instruments, & Computers","","32","4","10.3758/BF03200833","Armando PiñeiroMayra Manzano","2000","http://link.springer.com/article/10.3758/BF03200833","Article"
"LEXIN: A lexical database from Spanish kindergarten and first-grade readers","Behavior Research Methods","","41","4","10.3758/BRM.41.4.1009","Silvia CorralMarta FerreroEdurne Goikoetxea","2009","http://link.springer.com/article/10.3758/BRM.41.4.1009","Article"
"StimulStat: A lexical database for Russian","Behavior Research Methods","","50","6","10.3758/s13428-017-0994-3","Svetlana AlexeevaNatalia SlioussarDaria Chernova","2018","http://link.springer.com/article/10.3758/s13428-017-0994-3","Article"
"childLex: a lexical database of German read by children","Behavior Research Methods","","47","4","10.3758/s13428-014-0528-1","Sascha SchroederKay-Michael WürznerJulian HeisterAlexander GeykenReinhold Kliegl","2015","http://link.springer.com/article/10.3758/s13428-014-0528-1","Article"
"ESCOLEX: A grade-level lexical database from European Portuguese elementary to middle school textbooks","Behavior Research Methods","","46","1","10.3758/s13428-013-0350-1","Ana Paula SoaresJosé Carlos MedeirosAlberto SimõesJoão MachadoAna CostaÁlvaro IriarteJosé João de AlmeidaAna P. PinheiroMontserrat Comesaña","2014","http://link.springer.com/article/10.3758/s13428-013-0350-1","Article"
"Procura-PALavras (P-PAL): A Web-based interface for a new European Portuguese lexical database","Behavior Research Methods","","50","4","10.3758/s13428-018-1058-z","Ana Paula SoaresÁlvaro IriarteJosé João de AlmeidaAlberto SimõesAna CostaJoão MachadoPatrícia FrançaMontserrat ComesañaAndreia RauberAnabela RatoManuel Perea","2018","http://link.springer.com/article/10.3758/s13428-018-1058-z","Article"
"K-SPAN: A lexical database of Korean surface phonetic forms and phonological neighborhood density statistics","Behavior Research Methods","","49","5","10.3758/s13428-016-0836-8","Jeffrey J. HollidayRory TurnbullJulien Eychenne","2017","http://link.springer.com/article/10.3758/s13428-016-0836-8","Article"
"LSE-Sign: A lexical database for Spanish Sign Language","Behavior Research Methods","","48","1","10.3758/s13428-014-0560-1","Eva Gutierrez-SigutBrendan CostelloCristina BausManuel Carreiras","2016","http://link.springer.com/article/10.3758/s13428-014-0560-1","Article"
"Chinese lexical database (CLD)","Behavior Research Methods","","50","6","10.3758/s13428-018-1038-3","Ching Chu SunPeter HendrixJianqiang MaRolf Harald Baayen","2018","http://link.springer.com/article/10.3758/s13428-018-1038-3","Article"
"ASL-LEX: A lexical database of American Sign Language","Behavior Research Methods","","49","2","10.3758/s13428-016-0742-0","Naomi K. CaselliZed Sevcikova SehyrAriel M. Cohen-GoldbergKaren Emmorey","2017","http://link.springer.com/article/10.3758/s13428-016-0742-0","Article"
"Sublexical frequency measures for orthographic and phonological units in German","Behavior Research Methods","","39","3","10.3758/BF03193034","Markus J. HofmannPrisca StennekenMarkus ConradArthur M. Jacobs","2007","http://link.springer.com/article/10.3758/BF03193034","Article"
"Subjective frequency norms for 330 Spanish simple and compound words","Behavior Research Methods","","42","1","10.3758/BRM.42.1.109","Alain DesrochersJuana M. LicerasRaquel Fernández-FuertesGlenn L. Thompson","2010","http://link.springer.com/article/10.3758/BRM.42.1.109","Article"
"Testing the cognitive relevance of a geometric model on a word association task: A comparison of humans, ACOM, and LSA","Behavior Research Methods","","40","4","10.3758/BRM.40.4.926","Hyngsuk JiBenoît LemaireHyunseung ChooSabine Ploux","2008","http://link.springer.com/article/10.3758/BRM.40.4.926","Article"
"WordGen: A tool for word selection and nonword generation in Dutch, English, German, and French","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195595","Wouter DuyckTimothy DesmetLieven P. C. VerbekeMarc Brysbaert","2004","http://link.springer.com/article/10.3758/BF03195595","Article"
"Manulex-infra: Distributional characteristics of grapheme—phoneme mappings, and infralexical and lexical units in child-directed written material","Behavior Research Methods","","39","3","10.3758/BF03193029","Ronald PeeremanBernard LétéLiliane Sprenger-Charolles","2007","http://link.springer.com/article/10.3758/BF03193029","Article"
"Semantic distance norms computed from an electronic dictionary (WordNet)","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195590","William S. MakiLauren N. McKinleyAmber G. Thompson","2004","http://link.springer.com/article/10.3758/BF03195590","Article"
"New figures for a Web-accessible database of the 1,945 basic Japanese kanji, fourth edition","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195601","Katsuo TamaokaShogo Makioka","2004","http://link.springer.com/article/10.3758/BF03195601","Article"
"Wuggy: A multilingual pseudoword generator","Behavior Research Methods","","42","3","10.3758/BRM.42.3.627","Emmanuel KeuleersMarc Brysbaert","2010","http://link.springer.com/article/10.3758/BRM.42.3.627","Article"
"Psycholinguistic measures for German verb pairs: Semantic transparency, semantic relatedness, verb family size, and age of reading acquisition","Behavior Research Methods","","50","4","10.3758/s13428-018-1052-5","Eva SmolkaCarsten Eulitz","2018","http://link.springer.com/article/10.3758/s13428-018-1052-5","Article"
"Age-of-acquisition norms for a set of 1,749 Portuguese words","Behavior Research Methods","","42","2","10.3758/BRM.42.2.474","Manuela L. CameirãoSelene G. Vicente","2010","http://link.springer.com/article/10.3758/BRM.42.2.474","Article"
"PhonItalia: a phonological lexicon for Italian","Behavior Research Methods","","46","3","10.3758/s13428-013-0400-8","Jeremy GoslinClaudia GalluzziCristina Romani","2014","http://link.springer.com/article/10.3758/s13428-013-0400-8","Article"
"Age-of-acquisition and subjective frequency estimates for all generally known monosyllabic French words and their relation with other psycholinguistic variables","Behavior Research Methods","","40","4","10.3758/BRM.40.4.1049","Ludovic FerrandPatrick BoninAlain MéotMaria AugustinovaBoris NewChristophe PallierMarc Brysbaert","2008","http://link.springer.com/article/10.3758/BRM.40.4.1049","Article"
"A Web-Based Archive of Norms, Stimuli, and Data","Behavior Research Methods, Instruments, & Computers","","36","3","10.3758/BF03195583","Jonathan Vaughan","2004","http://link.springer.com/article/10.3758/BF03195583","Article"
"The Malay Lexicon Project: A database of lexical statistics for 9,592 words","Behavior Research Methods","","42","4","10.3758/BRM.42.4.992","Melvin J. YapSusan J. Rickard LiowSajlia Binte JalilSiti Syuhada Binte Faizal","2010","http://link.springer.com/article/10.3758/BRM.42.4.992","Article"
"Predictors of picture naming speed","Behavior Research Methods, Instruments, & Computers","","36","1","10.3758/BF03195559","F. -Xavier AlarioLudovic FerrandMarina LaganaroBoris NewUli H. FrauenfelderJuan Segui","2004","http://link.springer.com/article/10.3758/BF03195559","Article"
