Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A computer-assisted investigation of gender-related idiolect in Octavio Paz and Rosario Castellanos","Computers and the Humanities","","26","2","10.1007/BF00116347","Estelle Irizarry","1992","http://link.springer.com/article/10.1007/BF00116347","Article"
"A preliminary survey on the use of computers in linguistic research","Computers and the Humanities","","5","1","10.1007/BF02404260","Josse De Kock","1970","http://link.springer.com/article/10.1007/BF02404260","Article"
"Do Word Meanings Exist?","Computers and the Humanities","","34","1 - 2","10.1023/A:1002471322828","Patrick Hanks","2000","http://link.springer.com/article/10.1023/A%3A1002471322828","Article"
"'I Don’t Believe in Word Senses'","Computers and the Humanities","","31","2","10.1023/A:1000583911091","Adam Kilgarriff","1997","http://link.springer.com/article/10.1023/A%3A1000583911091","Article"
"Humanities computing in Italy","Computers and the Humanities","","7","6","10.1007/BF02395110","Antonio Zampolli","1973","http://link.springer.com/article/10.1007/BF02395110","Article"
"The century of prose corpus: A half-million word historical data base","Computers and the Humanities","","29","5","10.1007/BF02279525","Louis T. Milic","1995","http://link.springer.com/article/10.1007/BF02279525","Article"
