Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Adding phonetic similarity data to a lexical database","Language Resources and Evaluation","","42","3","10.1007/s10579-008-9069-5","Ruli ManurungGraeme RitchieHelen PainAnnalu WallerRolf BlackDave O’Mara","2008","http://link.springer.com/article/10.1007/s10579-008-9069-5","Article"
"Constructing two vietnamese corpora and building a lexical database","Language Resources and Evaluation","","53","3","10.1007/s10579-019-09451-x","Hien PhamBenjamin V. TuckerR. Harald Baayen","2019","http://link.springer.com/article/10.1007/s10579-019-09451-x","Article"
"Integrating Linguistic Resources in TC through WSD","Computers and the Humanities","","35","2","10.1023/A:1002632712378","L. Alfonso Ureña-LópezManuel BuenagaJosé M. Gómez","2001","http://link.springer.com/article/10.1023/A%3A1002632712378","Article"
"A Semantic Network of English: The Mother of All WordNets","Computers and the Humanities","","32","2 - 3","10.1023/A:1001181927857","Christiane Fellbaum","1998","http://link.springer.com/article/10.1023/A%3A1001181927857","Article"
"Electronic lexicography","Computers and the Humanities","","25","6","10.1007/BF00141185","Harry M. Logan","1991","http://link.springer.com/article/10.1007/BF00141185","Article"
"The Top-Down Strategy for Building EuroWordNet: Vocabulary Coverage, Base Concepts and Top Ontology","Computers and the Humanities","","32","2 - 3","10.1023/A:1001169525131","Horacio RodríguezSalvador ClimentPiek VossenLaura BloksmaWim PetersAntonietta AlongeFrancesca BertagnaAdriana Roventini","1998","http://link.springer.com/article/10.1023/A%3A1001169525131","Article"
"Summary of the activities of the Istituto di Linguistica Computazionale","Computers and the Humanities","","24","5 - 6","10.1007/BF00186484","Antonio Zampolli","1990","http://link.springer.com/article/10.1007/BF00186484","Article"
"An Architecture and Query Language for a Federation ofHeterogeneous Dictionary Databases","Computers and the Humanities","","34","4","10.1023/A:1026475818476","Jon PatrickJun ZhangXabier Artola-Zubillaga","2000","http://link.springer.com/article/10.1023/A%3A1026475818476","Article"
"A hybrid approach for paraphrase identification based on knowledge-enriched semantic heuristics","Language Resources and Evaluation","","","","10.1007/s10579-019-09466-4","Muhidin MohamedMourad Oussalah","2019","http://link.springer.com/article/10.1007/s10579-019-09466-4","Article"
"Introduction to EuroWordNet","Computers and the Humanities","","32","2 - 3","10.1023/A:1001175424222","Piek Vossen","1998","http://link.springer.com/article/10.1023/A%3A1001175424222","Article"
"Finding Syntactic Structure in Unparsed Corpora The Gsearch Corpus Query System","Computers and the Humanities","","35","2","10.1023/A:1002497503122","Steffan CorleyMartin CorleyFrank KellerMatthew W. CrockerShari Trewin","2001","http://link.springer.com/article/10.1023/A%3A1002497503122","Article"
"Making an information system for the humanities","Computers and the Humanities","","28","4 - 5","10.1007/BF01830275","Christian-Emil Ore","1994","http://link.springer.com/article/10.1007/BF01830275","Article"
"Lexical systems: graph models of natural language lexicons","Language Resources and Evaluation","","43","1","10.1007/s10579-008-9078-4","Alain Polguère","2009","http://link.springer.com/article/10.1007/s10579-008-9078-4","Article"
"Building the first comprehensive machine-readable Turkish sign language resource: methods, challenges and solutions","Language Resources and Evaluation","","","","10.1007/s10579-019-09465-5","Gülşen EryiğitCihat EryiğitSerpil KarabüklüMeltem KelepirAslı ÖzkulTuğba PamayDilara Torunoğlu-SelametHatice Köse","2019","http://link.springer.com/article/10.1007/s10579-019-09465-5","Article"
"Index of Key Words of Volume 35","Computers and the Humanities","","35","4","10.1023/A:1017303327587","","2001","http://link.springer.com/article/10.1023/A%3A1017303327587","Article"
"The Linguistic Design of the EuroWordNet Database","Computers and the Humanities","","32","2 - 3","10.1023/A:1001117508293","Antonietta AlongeNicoletta CalzolariPiek VossenLaura BloksmaIrene CastellonMaria Antonia MartiWim Peters","1998","http://link.springer.com/article/10.1023/A%3A1001117508293","Article"
"Restoring Arabic vowels through omission-tolerant dictionary lookup","Language Resources and Evaluation","","","","10.1007/s10579-019-09464-6","Alexis Amid NemeSébastien Paumier","2019","http://link.springer.com/article/10.1007/s10579-019-09464-6","Article"
"Extracting an Arabic Lexicon from Arabic Newspaper Text","Computers and the Humanities","","36","2","10.1023/A:1014368121689","Saleem AbuleilMartha Evens","2002","http://link.springer.com/article/10.1023/A%3A1014368121689","Article"
"Compatibility in Interpretation of Relations in EuroWordNet","Computers and the Humanities","","32","2 - 3","10.1023/A:1001121626948","Piek VossenLaura BloksmaAntonietta AlongeElisabetta MarinaiCarol PetersIrene CastellonAntonia MartiGerman Rigau","1998","http://link.springer.com/article/10.1023/A%3A1001121626948","Article"
"WordNet then and now","Language Resources and Evaluation","","41","2","10.1007/s10579-007-9044-6","George A. MillerChristiane Fellbaum","2007","http://link.springer.com/article/10.1007/s10579-007-9044-6","Article"
"Framework and Results for English SENSEVAL","Computers and the Humanities","","34","1 - 2","10.1023/A:1002693207386","A. KilgarriffJ. Rosenzweig","2000","http://link.springer.com/article/10.1023/A%3A1002693207386","Article"
"Cross-Lingual Sense Determination: Can It Work?","Computers and the Humanities","","34","1 - 2","10.1023/A:1002475423737","Nancy Ide","2000","http://link.springer.com/article/10.1023/A%3A1002475423737","Article"
"Cross-linguistic Alignment of Wordnets with an Inter-Lingual-Index","Computers and the Humanities","","32","2 - 3","10.1023/A:1001134011927","Wim PetersPiek VossenPedro Díez-OrzasGeert Andriaens","1998","http://link.springer.com/article/10.1023/A%3A1001134011927","Article"
"Semantic Roles as Slots in OIL Ontologies","Computers and the Humanities","","38","2","10.1023/B:CHUM.0000031083.26339.d4","Jolanta CybulkaJacek Martinek","2004","http://link.springer.com/article/10.1023/B%3ACHUM.0000031083.26339.d4","Article"
"'I Don’t Believe in Word Senses'","Computers and the Humanities","","31","2","10.1023/A:1000583911091","Adam Kilgarriff","1997","http://link.springer.com/article/10.1023/A%3A1000583911091","Article"
"Constructing and utilizing wordnets using statistical methods","Language Resources and Evaluation","","46","2","10.1007/s10579-012-9183-2","Gerard de MeloGerhard Weikum","2012","http://link.springer.com/article/10.1007/s10579-012-9183-2","Article"
"Word Sense Disambiguation Using Automatically Acquired Verbal Preferences","Computers and the Humanities","","34","1 - 2","10.1023/A:1002415205081","John CarrollDiana McCarthy","2000","http://link.springer.com/article/10.1023/A%3A1002415205081","Article"
"A project for Latin Lexicography: 1. Automatic lemmatization and word-list","Computers and the Humanities","","24","5 - 6","10.1007/BF00186485","Nino Marinone","1990","http://link.springer.com/article/10.1007/BF00186485","Article"
"GINGER II: An Example-Driven Word Sense Disambiguator","Computers and the Humanities","","34","1 - 2","10.1023/A:1002476823351","Luca DiniVittorio Di TomasoFrédérique Segond","2000","http://link.springer.com/article/10.1023/A%3A1002476823351","Article"
"Tagger Evaluation Given Hierarchical Tag Sets","Computers and the Humanities","","34","1 - 2","10.1023/A:1002402902356","I. Dan MelamedPhilip Resnik","2000","http://link.springer.com/article/10.1023/A%3A1002402902356","Article"
"A Topical/Local Classifier for Word Sense Identification","Computers and the Humanities","","34","1 - 2","10.1023/A:1002463121011","Martin ChodorowClaudia LeacockGeorge A. Miller","2000","http://link.springer.com/article/10.1023/A%3A1002463121011","Article"
"Word Sense Disambiguation with a Similarity-Smoothed Case Library","Computers and the Humanities","","34","1 - 2","10.1023/A:1002633105432","Dekang Lin","2000","http://link.springer.com/article/10.1023/A%3A1002633105432","Article"
"Senseval: The CL Research Experience","Computers and the Humanities","","34","1 - 2","10.1023/A:1002463718479","Kenneth C. Litkowski","2000","http://link.springer.com/article/10.1023/A%3A1002463718479","Article"
"Using Semantic Classification Trees for WSD","Computers and the Humanities","","34","1 - 2","10.1023/A:1002467221920","C. de LoupyM. El-BèzeP.-F. Marteau","2000","http://link.springer.com/article/10.1023/A%3A1002467221920","Article"
"Challenges for a multilingual wordnet","Language Resources and Evaluation","","46","2","10.1007/s10579-012-9186-z","Christiane FellbaumPiek Vossen","2012","http://link.springer.com/article/10.1007/s10579-012-9186-z","Article"
"The Hamburg Metaphor Database project: issues in resource creation","Language Resources and Evaluation","","42","3","10.1007/s10579-008-9073-9","Birte Lönneker-Rodman","2008","http://link.springer.com/article/10.1007/s10579-008-9073-9","Article"
"Encoding dictionaries","Computers and the Humanities","","29","2","10.1007/BF01830710","Nancy IdeJean Véronis","1995","http://link.springer.com/article/10.1007/BF01830710","Article"
"Applying EuroWordNet to Cross-Language Text Retrieval","Computers and the Humanities","","32","2 - 3","10.1023/A:1001129911019","Julio GonzaloFelisa VerdejoCarol PetersNicoletta Calzolari","1998","http://link.springer.com/article/10.1023/A%3A1001129911019","Article"
"The Bible as a Parallel Corpus: Annotating the ‘Book of 2000 Tongues’","Computers and the Humanities","","33","1 - 2","10.1023/A:1001798929185","Philip ResnikMari Broman OlsenMona Diab","1999","http://link.springer.com/article/10.1023/A%3A1001798929185","Article"
"Building the Galician wordnet: methods and applications","Language Resources and Evaluation","","52","1","10.1007/s10579-017-9408-5","Xavier Gómez GuinovartMiguel Anxo Solla Portela","2018","http://link.springer.com/article/10.1007/s10579-017-9408-5","Article"
"Automatic Acquisition and Expansion of Hypernym Links","Computers and the Humanities","","38","4","10.1007/s10579-004-1926-2","Emmanuel MorinChristian Jacquemin","2004","http://link.springer.com/article/10.1007/s10579-004-1926-2","Article"
"Annotated news corpora and a lexicon for sentiment analysis in Slovene","Language Resources and Evaluation","","52","3","10.1007/s10579-018-9413-3","Jože BučarMartin ŽnidaršičJanez Povh","2018","http://link.springer.com/article/10.1007/s10579-018-9413-3","Article"
"A lexicon for Vietnamese language processing","Language Resources and Evaluation","","40","3 - 4","10.1007/s10579-007-9034-8","Thị Minh Huyền NguyễnLaurent RomaryMathias RossignolXuân Lương Vũ","2006","http://link.springer.com/article/10.1007/s10579-007-9034-8","Article"
"Word frequency distributions and lexical semantics","Computers and the Humanities","","30","4","10.1007/BF00115137","R. Harald BaayenRochelle Lieber","1996","http://link.springer.com/article/10.1007/BF00115137","Article"
"From 0 to 10 million annotated words: part-of-speech tagging for Middle High German","Language Resources and Evaluation","","","","10.1007/s10579-019-09462-8","Sarah SchulzNora Ketschik","2019","http://link.springer.com/article/10.1007/s10579-019-09462-8","Article"
"Adding New Words into A Chinese Thesaurus","Computers and the Humanities","","31","3","10.1023/A:1000980024577","Ji DonghongGong JunpingHuang Changning","1997","http://link.springer.com/article/10.1023/A%3A1000980024577","Article"
"Consistent Criteria for Sense Distinctions","Computers and the Humanities","","34","1 - 2","10.1023/A:1002613125904","Martha Palmer","2000","http://link.springer.com/article/10.1023/A%3A1002613125904","Article"
"COMLEX Syntax – A Large Syntactic Dictionary for Natural Language Processing","Computers and the Humanities","","31","6","10.1023/A:1001142417369","Catherine MacLeodRalph GrishmanAdam Meyers","1997","http://link.springer.com/article/10.1023/A%3A1001142417369","Article"
"C-rater: Automated Scoring of Short-Answer Questions","Computers and the Humanities","","37","4","10.1023/A:1025779619903","Claudia LeacockMartin Chodorow","2003","http://link.springer.com/article/10.1023/A%3A1025779619903","Article"
"Semantic Variation in Idiolect and Sociolect: Corpus Linguistic Evidence from Literary Texts","Computers and the Humanities","","38","2","10.1023/B:CHUM.0000031185.88395.b1","Max M. Louwerse","2004","http://link.springer.com/article/10.1023/B%3ACHUM.0000031185.88395.b1","Article"
"Detecting Collaborations in Text Comparing the Authors' Rhetorical Language Choices in The Federalist Papers","Computers and the Humanities","","38","1","10.1023/B:CHUM.0000009291.06947.52","Jeff CollinsDavid KauferPantelis VlachosBrian ButlerSuguru Ishizaki","2004","http://link.springer.com/article/10.1023/B%3ACHUM.0000009291.06947.52","Article"
"Digitization of data for a historical medical dictionary","Language Resources and Evaluation","","","","10.1007/s10579-019-09468-2","Juhani NorriMarko JunkkariTimo Poranen","2019","http://link.springer.com/article/10.1007/s10579-019-09468-2","Article"
"NETMET: A program for generating and interpreting metaphors","Computers and the Humanities","","28","6","10.1007/BF01829973","Eric Steinhart","1994","http://link.springer.com/article/10.1007/BF01829973","Article"
