Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"LAB: Linguistic Annotated Bibliography – a searchable portal for normed database information","Behavior Research Methods","","51","4","10.3758/s13428-018-1130-8","Erin M. BuchananK. D. ValentineNicholas P. Maxwell","2019","http://link.springer.com/article/10.3758/s13428-018-1130-8","Article"
"childLex: a lexical database of German read by children","Behavior Research Methods","","47","4","10.3758/s13428-014-0528-1","Sascha SchroederKay-Michael WürznerJulian HeisterAlexander GeykenReinhold Kliegl","2015","http://link.springer.com/article/10.3758/s13428-014-0528-1","Article"
"Timed picture naming: Extended norms and validation against previous studies","Behavior Research Methods, Instruments, & Computers","","35","4","10.3758/BF03195542","Anna SzékelySimonetta D’AmicoAntonella DevescoviKara FedermeierDan HerronGowri IyerThomas JacobsenElizabeth Bates","2003","http://link.springer.com/article/10.3758/BF03195542","Article"
"Oral frequency norms for 67,979 Spanish words","Behavior Research Methods","","43","2","10.3758/s13428-011-0062-3","María Angeles AlonsoAngel FernandezEmiliano Díez","2011","http://link.springer.com/article/10.3758/s13428-011-0062-3","Article"
